WMO_ID,cast_a,cast_b,gap_hours,delta_Temperature,delta_Salinity,delta_z,delta_Oxygen,suspicion_score
3902122.0,18668797,18668799,2.0152,28.072016,204.648892,203.083726,0.00093,30.087216
3902122.0,18668805,18668807,2.203,23.342092,239.388217,237.537849,0.000347,25.545092
3902122.0,18668821,18668824,1.922,23.58607,174.656616,173.299359,0.003775,25.50807
3902122.0,18668832,18668834,2.25,13.536877,204.303044,202.695505,0.011103,15.786877
3902122.0,18668845,18668849,1.781,29.054848,220.581097,218.886359,0.010584,30.835848
3902126.0,18714224,18715424,0.0,1.850602,140.238997,137.121263,,1.850602
3902127.0,18882333,18883201,0.0,0.166732,454.689355,446.431549,,0.166732
6901151.0,18147536,18147539,5.25,14.965548,84.674473,83.93489,0.021695,20.215548
6901152.0,18147537,18147538,2.1561,13.033874,81.956563,81.237338,0.015013,15.189974000000001
6901174.0,18147817,18147818,2.3438,16.200533,20.200398,20.079359,0.119589,18.544333
6901174.0,18147818,18147819,2.4372,63.530946,260.493332,258.573959,0.082721,65.968146
6901174.0,18147821,18147824,1.594,15.203819,69.837342,69.306517,0.002134,16.797819
6901174.0,18147826,18147828,2.0628,16.551747,39.34852,39.064171,0.012089,18.614546999999998
6901174.0,18147830,18147832,2.0152,16.969994,31.649211,31.421146,0.003846,18.985194
6901175.0,18147820,18147822,3.75,47.631895,81.242169,80.734906,0.134106,51.381895
6901175.0,18147822,18147825,1.7348,19.230667,192.260051,190.793785,0.029585,20.965467
6901175.0,18147827,18147829,1.6409,4.0862,56.921902,56.487033,0.021729,5.7271
6901175.0,18147831,18147833,1.828,8.652081,83.506152,82.871331,0.009711,10.480081
6901180.0,18148797,18148799,1.8288,28.697091,116.626304,115.364909,0.073174,30.525891
6901180.0,18148801,18148802,0.469,30.602194,42.275325,41.763302,0.033105,31.071194000000002
6901180.0,18148802,18148806,3.6091,31.26456,48.915693,48.422717,0.086902,34.87366
6901180.0,18148806,18148807,2.625,29.947645,207.565992,205.291188,0.131953,32.572645
6901180.0,18148808,18148809,0.4212,30.778997,88.393428,87.399466,0.003721,31.200197
6901180.0,18148809,18148814,3.1878,30.203147,49.252108,48.772909,0.093566,33.390947000000004
6901180.0,18148814,18148815,2.5781,28.698992,236.927334,234.36457,0.15005,31.277092
6901180.0,18148817,18148818,0.422,30.564548,60.515393,59.810832,0.0663,30.986548
6901180.0,18148818,18148820,3.375,31.351152,41.009849,40.606542,0.126361,34.726152
6901180.0,18148820,18148821,2.484,30.843176,177.113468,175.181903,0.162664,33.327176
6901180.0,18148822,18148823,0.4682,30.168087,45.478524,44.9235,0.058866,30.636287
6901180.0,18148823,18148825,3.6568,27.252919,61.655671,61.042411,0.060834,30.909719
