epoch,train_loss,val_loss
1,1.166334,0.024979
2,0.055029,0.030331
3,0.028602,0.020108
4,0.028775,0.020220
5,0.027861,0.020104
6,0.026981,0.019040
7,0.026900,0.018680
8,0.026688,0.019160
9,0.027714,0.018592
10,0.027687,0.026409
11,0.026417,0.019292
12,0.025893,0.018199
13,0.025430,0.018538
14,0.025447,0.018877
15,0.026470,0.019595
16,0.027222,0.020869
17,0.029148,0.041765
18,0.037965,0.020500
19,0.031880,0.038119
20,0.029221,0.019153
21,0.027378,0.018867
22,0.028968,0.021849
23,0.030815,0.020846
24,0.027807,0.018411
25,0.032036,0.024803
26,0.027524,0.024149
27,0.028366,0.043972
28,0.035472,0.077474
29,0.074746,0.047373
30,0.047158,0.031151
31,0.034205,0.019783
32,0.033485,0.017723
33,0.027397,0.021437
34,0.033528,0.017768
35,0.030288,0.019135
36,0.032890,0.022943
37,0.047141,0.092405
38,0.056804,0.021236
39,0.028602,0.018651
40,0.032790,0.017968
41,0.043342,0.031612
42,0.032597,0.018391
43,0.030791,0.017914
44,0.031583,0.023991
45,0.031242,0.018023
46,0.038269,0.017950
47,0.032936,0.017702
48,0.033449,0.024915
49,0.039433,0.091456
50,0.097266,0.026473
51,0.052052,0.018006
52,0.042269,0.020314
53,0.037341,0.018771
54,0.036091,0.070935
55,0.045539,0.016840
56,0.051926,0.028781
57,0.044481,0.019760
58,0.035684,0.021469
59,0.039822,0.017405
60,0.027471,0.023454
61,0.029821,0.017533
62,0.030270,0.016696
63,0.041666,0.019437
64,0.037623,0.017273
65,0.026138,0.030053
66,0.033518,0.030359
67,0.069748,0.090743
68,0.053282,0.017505
69,0.063496,0.017109
70,0.032640,0.019826
71,0.026443,0.018008
72,0.025899,0.016838
73,0.036299,0.110359
74,0.067863,0.034409
75,0.035395,0.018981
76,0.055539,0.027404
77,0.045850,0.027866
78,0.031203,0.028902
79,0.035798,0.027749
80,0.037957,0.016234
81,0.033663,0.042288
82,0.028362,0.016305
83,0.026637,0.018882
84,0.025543,0.018646
85,0.028788,0.020631
86,0.037610,0.017154
87,0.041015,0.018224
88,0.027730,0.016663
89,0.026902,0.034826
90,0.029380,0.016251
91,0.024537,0.017207
92,0.033804,0.019295
93,0.031724,0.019879
94,0.026256,0.018861
95,0.032763,0.032844
96,0.030401,0.075374
97,0.034904,0.016356
98,0.024952,0.016364
99,0.025611,0.017276
100,0.025683,0.018748
