epoch,train_loss,val_loss
1,3.127327,0.560467
2,0.561773,0.332106
3,0.359800,0.259546
4,0.270247,0.210598
5,0.222832,0.186375
6,0.197752,0.174181
7,0.182671,0.159900
8,0.173025,0.161448
9,0.166130,0.157373
10,0.160813,0.155238
11,0.158241,0.152398
12,0.153877,0.153009
13,0.151564,0.149574
14,0.148912,0.148769
15,0.146697,0.148786
16,0.145020,0.149906
17,0.143660,0.150056
18,0.142193,0.149611
19,0.141188,0.143903
20,0.139761,0.147615
21,0.138893,0.146574
22,0.138216,0.149759
23,0.137735,0.143604
24,0.136360,0.145844
25,0.135816,0.145725
26,0.134506,0.145895
27,0.133280,0.143511
28,0.133249,0.143982
29,0.132417,0.147368
30,0.132029,0.143963
31,0.131369,0.142846
32,0.130911,0.147026
33,0.130318,0.141564
34,0.129519,0.146162
35,0.128291,0.142025
36,0.128926,0.147741
37,0.127972,0.142708
38,0.128056,0.143348
39,0.127596,0.145131
40,0.126585,0.142769
