epoch,train_loss,val_loss
1,0.743558,0.211647
2,0.207768,0.189474
3,0.192367,0.174656
4,0.185274,0.177176
5,0.182199,0.172813
6,0.181366,0.165049
7,0.176054,0.169725
8,0.172800,0.164377
9,0.174547,0.173025
10,0.173907,0.157701
11,0.168213,0.158767
12,0.166613,0.157671
13,0.167709,0.154361
14,0.165178,0.162229
15,0.164520,0.169388
16,0.163885,0.156627
17,0.161942,0.160738
18,0.161964,0.164168
19,0.161585,0.156889
20,0.158119,0.170412
21,0.158517,0.155555
22,0.160213,0.148537
23,0.157703,0.151528
24,0.156052,0.158587
25,0.156477,0.158962
26,0.154975,0.158110
27,0.153816,0.149522
28,0.155371,0.157041
29,0.154419,0.159601
30,0.154864,0.148567
31,0.152150,0.150616
32,0.152353,0.152497
33,0.151647,0.153922
34,0.152020,0.150773
35,0.151932,0.155666
36,0.153496,0.159635
37,0.150116,0.150863
38,0.149060,0.147427
39,0.149718,0.147900
40,0.150412,0.145602
