epoch,train_loss,val_loss
1,2.584204,0.271017
2,0.251925,0.158226
3,0.111154,0.048178
4,0.042095,0.026857
5,0.032361,0.024720
6,0.030029,0.021446
7,0.028034,0.020912
8,0.026443,0.020180
9,0.026968,0.020165
10,0.026611,0.020530
11,0.026977,0.019628
12,0.026626,0.019024
13,0.026008,0.018904
14,0.026572,0.018640
15,0.025927,0.018491
16,0.025493,0.018573
17,0.025971,0.019261
18,0.025679,0.018576
19,0.025316,0.019565
20,0.024917,0.017950
21,0.024914,0.019696
22,0.026461,0.017767
23,0.025553,0.017595
24,0.025318,0.018132
25,0.025215,0.017380
26,0.024472,0.017491
27,0.024656,0.018687
28,0.025321,0.017287
29,0.024132,0.017163
30,0.024407,0.017384
31,0.024741,0.017001
32,0.023929,0.016898
33,0.025042,0.016732
34,0.024322,0.017633
35,0.024908,0.016705
36,0.025415,0.016540
37,0.025019,0.016497
38,0.023520,0.017058
39,0.024666,0.016581
40,0.023853,0.016478
41,0.023800,0.016722
42,0.024456,0.016299
43,0.023641,0.016284
44,0.023703,0.016179
45,0.023324,0.016460
46,0.025463,0.016133
47,0.023634,0.016094
48,0.023433,0.016190
49,0.023825,0.016215
50,0.027794,0.016700
51,0.025335,0.016064
52,0.023303,0.016077
53,0.023972,0.015939
54,0.026913,0.016301
55,0.023160,0.016526
56,0.025449,0.016260
57,0.024931,0.016256
58,0.022132,0.015852
59,0.023216,0.015841
60,0.024749,0.015820
61,0.023426,0.016079
62,0.023671,0.015907
63,0.024060,0.015880
64,0.023422,0.015806
65,0.023828,0.015762
66,0.023562,0.015752
67,0.023603,0.015822
68,0.024402,0.015801
69,0.026313,0.016307
70,0.024110,0.015892
71,0.022807,0.015728
72,0.023473,0.015773
73,0.022912,0.015766
74,0.023350,0.015690
75,0.024036,0.016539
76,0.023361,0.015742
77,0.022849,0.015878
78,0.023468,0.015678
79,0.023228,0.015825
80,0.023562,0.015785
81,0.023632,0.015643
82,0.023283,0.015648
83,0.022753,0.015672
84,0.023917,0.016085
85,0.023518,0.015628
86,0.022964,0.015679
87,0.023133,0.015738
88,0.022621,0.015702
89,0.023240,0.015656
90,0.023421,0.015636
91,0.023567,0.015642
92,0.023056,0.015648
93,0.022783,0.015678
94,0.025106,0.015662
95,0.024002,0.015761
96,0.023787,0.015624
97,0.023240,0.015681
98,0.022694,0.015619
99,0.023551,0.015668
100,0.023956,0.015641
