epoch,train_loss,val_loss
1,20.404430,0.727316
2,0.419864,0.136191
3,0.132543,0.093529
4,0.101420,0.082165
5,0.088343,0.071399
6,0.078556,0.065723
7,0.072338,0.069300
8,0.069059,0.063504
9,0.065346,0.063083
10,0.063664,0.061126
11,0.061882,0.060073
12,0.061025,0.058085
13,0.059538,0.055394
14,0.057334,0.055913
15,0.056252,0.051801
16,0.054925,0.054026
17,0.054477,0.051021
18,0.052682,0.051015
19,0.051360,0.049036
20,0.051038,0.048073
21,0.049938,0.048907
22,0.049343,0.048701
23,0.048630,0.047307
24,0.047144,0.045821
25,0.046965,0.049661
26,0.046289,0.045010
27,0.045077,0.046151
28,0.044915,0.045104
29,0.044788,0.045109
30,0.043326,0.043519
31,0.042671,0.043414
32,0.042330,0.043075
33,0.042768,0.043248
34,0.041484,0.043692
35,0.041165,0.043606
36,0.041161,0.042163
37,0.041772,0.044435
38,0.040238,0.042254
39,0.040293,0.044865
40,0.039627,0.041336
41,0.040117,0.044291
42,0.039312,0.041641
43,0.039992,0.041380
44,0.039219,0.043047
45,0.039012,0.043552
46,0.038572,0.041527
47,0.038746,0.050689
48,0.039127,0.039680
49,0.038524,0.041921
50,0.037641,0.040000
51,0.037395,0.039829
52,0.038323,0.045878
53,0.036747,0.045826
54,0.037036,0.039391
55,0.036683,0.045427
56,0.037578,0.045578
57,0.036526,0.042715
58,0.036056,0.041398
59,0.036138,0.038661
60,0.034822,0.037846
61,0.035305,0.040026
62,0.035442,0.037585
63,0.035277,0.040806
64,0.033866,0.035894
65,0.035031,0.037980
66,0.034630,0.038987
67,0.034116,0.039767
68,0.034169,0.038690
69,0.032860,0.037386
70,0.033746,0.034522
71,0.032654,0.034467
72,0.034572,0.037096
73,0.032403,0.034077
74,0.032027,0.033784
75,0.032161,0.037032
76,0.032979,0.035331
77,0.032303,0.033153
78,0.031394,0.033845
79,0.031705,0.037142
80,0.031482,0.033249
81,0.030773,0.035523
82,0.031203,0.032244
83,0.030537,0.034833
84,0.031662,0.034146
85,0.030600,0.043306
86,0.030691,0.032045
87,0.029973,0.031788
88,0.030599,0.036076
89,0.030294,0.030482
90,0.029692,0.032740
91,0.030381,0.032551
92,0.030407,0.032868
93,0.029592,0.031663
94,0.029893,0.032029
95,0.028133,0.030795
96,0.029612,0.030500
97,0.028275,0.034149
98,0.029006,0.032474
99,0.028318,0.029435
100,0.028660,0.030221
