model,horizon_steps,horizon_days,final_mse,step_losses
ode,5,50,0.0836576521396637,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637]"
ode,10,100,0.1571168452501297,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637, 0.08969158679246902, 0.11777424812316895, 0.1207607239484787, 0.15243807435035706, 0.1571168452501297]"
ode,15,150,0.2826076149940491,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637, 0.08969158679246902, 0.11777424812316895, 0.1207607239484787, 0.15243807435035706, 0.1571168452501297, 0.1830800324678421, 0.2019859403371811, 0.23820044100284576, 0.25819459557533264, 0.2826076149940491]"
ode,20,200,0.47944432497024536,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637, 0.08969158679246902, 0.11777424812316895, 0.1207607239484787, 0.15243807435035706, 0.1571168452501297, 0.1830800324678421, 0.2019859403371811, 0.23820044100284576, 0.25819459557533264, 0.2826076149940491, 0.30707499384880066, 0.3382735848426819, 0.3883379399776459, 0.43160995841026306, 0.47944432497024536]"
ode,30,300,1.6455484628677368,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637, 0.08969158679246902, 0.11777424812316895, 0.1207607239484787, 0.15243807435035706, 0.1571168452501297, 0.1830800324678421, 0.2019859403371811, 0.23820044100284576, 0.25819459557533264, 0.2826076149940491, 0.30707499384880066, 0.3382735848426819, 0.3883379399776459, 0.43160995841026306, 0.47944432497024536, 0.5484715104103088, 0.7615585923194885, 0.6909860968589783, 0.7823589444160461, 0.8835552334785461, 0.9995591044425964, 1.1416733264923096, 1.2844939231872559, 1.4571877717971802, 1.6455484628677368]"
ode,40,400,3.862386703491211,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637, 0.08969158679246902, 0.11777424812316895, 0.1207607239484787, 0.15243807435035706, 0.1571168452501297, 0.1830800324678421, 0.2019859403371811, 0.23820044100284576, 0.25819459557533264, 0.2826076149940491, 0.30707499384880066, 0.3382735848426819, 0.3883379399776459, 0.43160995841026306, 0.47944432497024536, 0.5484715104103088, 0.7615585923194885, 0.6909860968589783, 0.7823589444160461, 0.8835552334785461, 0.9995591044425964, 1.1416733264923096, 1.2844939231872559, 1.4571877717971802, 1.6455484628677368, 1.8370747566223145, 2.0376148223876953, 2.2624399662017822, 2.4964518547058105, 2.734778642654419, 2.976393938064575, 3.2347946166992188, 3.456934690475464, 3.6447410583496094, 3.862386703491211]"
ode,50,500,4.793162822723389,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637, 0.08969158679246902, 0.11777424812316895, 0.1207607239484787, 0.15243807435035706, 0.1571168452501297, 0.1830800324678421, 0.2019859403371811, 0.23820044100284576, 0.25819459557533264, 0.2826076149940491, 0.30707499384880066, 0.3382735848426819, 0.3883379399776459, 0.43160995841026306, 0.47944432497024536, 0.5484715104103088, 0.7615585923194885, 0.6909860968589783, 0.7823589444160461, 0.8835552334785461, 0.9995591044425964, 1.1416733264923096, 1.2844939231872559, 1.4571877717971802, 1.6455484628677368, 1.8370747566223145, 2.0376148223876953, 2.2624399662017822, 2.4964518547058105, 2.734778642654419, 2.976393938064575, 3.2347946166992188, 3.456934690475464, 3.6447410583496094, 3.862386703491211, 4.058202743530273, 4.230861186981201, 4.376492500305176, 4.516615867614746, 4.601346492767334, 4.65654993057251, 4.677053451538086, 4.7465081214904785, 4.759880542755127, 4.793162822723389]"
ode,100,1000,22.34314727783203,"[0.0, 0.02749500423669815, 0.03338903933763504, 0.0631682500243187, 0.05775829777121544, 0.0836576521396637, 0.08969158679246902, 0.11777424812316895, 0.1207607239484787, 0.15243807435035706, 0.1571168452501297, 0.1830800324678421, 0.2019859403371811, 0.23820044100284576, 0.25819459557533264, 0.2826076149940491, 0.30707499384880066, 0.3382735848426819, 0.3883379399776459, 0.43160995841026306, 0.47944432497024536, 0.5484715104103088, 0.7615585923194885, 0.6909860968589783, 0.7823589444160461, 0.8835552334785461, 0.9995591044425964, 1.1416733264923096, 1.2844939231872559, 1.4571877717971802, 1.6455484628677368, 1.8370747566223145, 2.0376148223876953, 2.2624399662017822, 2.4964518547058105, 2.734778642654419, 2.976393938064575, 3.2347946166992188, 3.456934690475464, 3.6447410583496094, 3.862386703491211, 4.058202743530273, 4.230861186981201, 4.376492500305176, 4.516615867614746, 4.601346492767334, 4.65654993057251, 4.677053451538086, 4.7465081214904785, 4.759880542755127, 4.793162822723389, 4.747635841369629, 4.742979526519775, 4.745215892791748, 4.776494979858398, 4.7851738929748535, 4.830235958099365, 4.8330888748168945, 4.839046001434326, 4.856660842895508, 4.837780475616455, 4.893904209136963, 4.936248779296875, 4.954502105712891, 5.014055252075195, 5.097481727600098, 5.16336727142334, 5.244976997375488, 5.3204193115234375, 5.443282127380371, 5.507737159729004, 5.6059136390686035, 5.772327423095703, 5.863006114959717, 6.009795665740967, 6.2010087966918945, 6.313121318817139, 6.557336330413818, 6.699080944061279, 6.888986110687256, 7.117402076721191, 7.35064697265625, 7.570860385894775, 7.820321559906006, 8.121367454528809, 8.438730239868164, 8.753162384033203, 9.15406322479248, 9.650402069091797, 10.316088676452637, 11.086799621582031, 12.118112564086914, 13.026103019714355, 14.033305168151855, 15.118104934692383, 16.246713638305664, 17.381031036376953, 18.518505096435547, 19.854511260986328, 21.183473587036133, 22.34314727783203]"
gru,5,50,0.049403924494981766,"[0.0, 0.05586295574903488, 0.03431890159845352, 0.05205654352903366, 0.03308510780334473, 0.049403924494981766]"
gru,10,100,0.04909330978989601,"[0.0, 0.05586295574903488, 0.03431890159845352, 0.05205654352903366, 0.03308510780334473, 0.049403924494981766, 0.04196752980351448, 0.054201364517211914, 0.04341337829828262, 0.05994066596031189, 0.04909330978989601]"
