epoch,train_loss,val_loss
1,75.087650,11.761811
2,8.704667,1.968899
3,2.414699,1.338207
4,1.000950,1.282612
5,0.789111,1.142945
6,0.686974,1.055357
7,0.660837,1.012959
8,0.700517,0.980044
9,0.645652,0.954492
10,0.605325,0.932684
11,0.645157,0.917784
12,0.573185,0.904858
13,0.576103,0.894412
14,0.563387,0.880817
15,0.588784,0.858535
16,0.583480,0.846669
17,0.522420,0.825720
18,0.566287,0.817575
19,0.513345,0.813479
20,0.505551,0.811131
21,0.488354,0.798513
22,0.509983,0.796082
23,0.520105,0.787316
24,0.511586,0.785747
25,0.512883,0.767995
26,0.522271,0.762129
27,0.504657,0.758182
28,0.498812,0.758717
29,0.469008,0.759999
30,0.487508,0.744688
31,0.496798,0.803482
32,0.500851,0.746330
33,0.464985,0.734140
34,0.459027,0.735658
35,0.465425,0.726546
36,0.476798,0.735682
37,0.480279,0.726000
38,0.468758,0.726124
39,0.465200,0.727653
40,0.459247,0.719170
41,0.475509,0.720144
42,0.454825,0.725496
43,0.484610,0.711119
44,0.455522,0.707396
45,0.468633,0.708372
46,0.451624,0.716726
47,0.471478,0.708515
48,0.509154,0.703970
49,0.479520,0.702931
50,0.418025,0.711887
51,0.469223,0.697279
52,0.473170,0.694198
53,0.443625,0.700105
54,0.466664,0.703202
55,0.428947,0.695863
56,0.453736,0.695296
57,0.430060,0.695738
58,0.452135,0.699345
59,0.453443,0.691880
60,0.464895,0.695777
61,0.444849,0.693582
62,0.440878,0.693423
63,0.463029,0.690230
64,0.438250,0.687738
65,0.435194,0.692177
66,0.434027,0.690407
67,0.462330,0.690050
68,0.438794,0.691473
69,0.435365,0.685811
70,0.427901,0.686005
71,0.417107,0.695806
72,0.453806,0.695114
73,0.436783,0.685267
74,0.452394,0.686401
75,0.434252,0.690189
76,0.446752,0.695760
77,0.470160,0.682668
78,0.441754,0.684600
79,0.418211,0.686638
80,0.449437,0.682740
81,0.433765,0.685165
82,0.433553,0.690972
83,0.441993,0.687039
84,0.436719,0.685137
85,0.449122,0.680188
86,0.443984,0.682790
87,0.445715,0.683901
88,0.438177,0.684358
89,0.431817,0.686014
90,0.433291,0.685599
91,0.427029,0.685765
92,0.446324,0.683421
93,0.442272,0.679068
94,0.435536,0.685589
95,0.436110,0.681055
96,0.465655,0.679851
97,0.449702,0.680447
98,0.422771,0.679912
99,0.507940,0.677684
100,0.426073,0.684091
