epoch,train_loss,val_loss,phase,window_size
1,1.125638,0.179707,1,10
2,0.200086,0.146430,1,10
3,0.172439,0.149210,1,10
4,0.162485,0.164316,1,10
5,0.157050,0.139246,1,10
6,0.153254,0.151025,1,10
7,0.144322,0.179267,1,10
8,0.145800,0.135753,1,10
9,0.134981,0.146313,1,10
10,0.129924,0.121818,1,10
11,0.127686,0.151953,1,10
12,0.126630,0.181598,1,10
13,0.131991,0.147956,1,10
14,0.119389,0.126574,1,10
15,0.119765,0.191074,1,10
16,0.116555,0.220448,1,10
17,0.116279,0.132869,1,10
18,0.118686,0.314981,1,10
19,0.114120,0.174836,1,10
20,0.112526,0.116709,1,10
21,0.110841,0.192992,1,10
22,0.109172,0.167777,1,10
23,0.109358,0.128014,1,10
24,0.108238,0.202510,1,10
25,0.110226,0.186276,1,10
26,0.105352,0.169472,1,10
27,0.104281,0.322241,1,10
28,0.104170,0.146938,1,10
29,0.103766,0.131069,1,10
30,0.103691,0.245146,1,10
31,0.103750,0.160797,1,10
32,0.103501,0.395031,1,10
33,0.102188,0.153903,1,10
34,0.102693,0.177328,1,10
35,0.101960,0.272332,1,10
36,0.102457,0.312694,1,10
37,0.102115,0.223804,1,10
38,0.101453,0.267626,1,10
39,0.100484,0.149138,1,10
40,0.099908,0.325311,1,10
41,0.101195,0.183763,1,10
42,0.099602,0.250035,1,10
43,0.099699,0.246388,1,10
44,0.098737,0.214202,1,10
45,0.098248,0.409186,1,10
46,0.098690,0.139166,1,10
47,0.097668,0.118523,1,10
48,0.097912,0.107450,1,10
49,0.127119,0.123721,1,10
50,0.096164,0.403145,1,10
51,0.097333,0.192009,1,10
52,0.097168,0.381229,1,10
53,0.095218,0.278478,1,10
54,0.095552,0.142976,1,10
55,0.094858,0.409504,1,10
56,0.095195,0.422758,1,10
57,0.094888,0.208328,1,10
58,0.094106,0.199875,1,10
59,0.094722,0.100372,1,10
60,0.094105,0.472892,1,10
61,0.093362,0.213876,1,10
62,0.093856,0.226137,1,10
63,0.093170,0.219022,1,10
64,0.092964,0.262212,1,10
65,0.093100,0.191127,1,10
66,0.092984,0.275184,1,10
67,0.092708,0.281198,1,10
68,0.092037,0.237328,1,10
69,0.091525,0.191930,1,10
70,0.091295,0.328601,1,10
71,0.091272,0.204411,1,10
72,0.091015,0.291865,1,10
73,0.090938,0.261495,1,10
74,0.090360,0.207659,1,10
75,0.090505,0.336487,1,10
76,0.090669,0.357356,1,10
77,0.089837,0.333080,1,10
78,0.089248,0.461747,1,10
79,0.089780,0.313216,1,10
80,0.089444,0.297685,1,10
81,0.089335,0.378120,1,10
82,0.088620,0.277649,1,10
83,0.089090,0.298445,1,10
84,0.088807,0.344257,1,10
85,0.088373,0.357398,1,10
86,0.088413,0.331431,1,10
87,0.088083,0.344018,1,10
88,0.087830,0.350072,1,10
89,0.087973,0.356821,1,10
90,0.087916,0.321329,1,10
91,0.088138,0.371323,1,10
92,0.087367,0.338862,1,10
93,0.087423,0.343125,1,10
94,0.087371,0.347903,1,10
95,0.089113,0.337483,1,10
96,0.087321,0.341425,1,10
97,0.087256,0.341745,1,10
98,0.087197,0.344683,1,10
99,0.087055,0.348856,1,10
100,0.087254,0.347401,1,10
