epoch,train_loss,val_loss
1,0.909091,1.199828
2,0.799085,1.173586
3,0.770021,1.163896
4,0.762360,1.156221
5,0.754565,1.149820
6,0.753674,1.140539
7,0.771941,1.133742
8,0.671917,1.125403
9,0.719448,1.117900
10,0.693439,1.111128
11,0.716008,1.103751
12,0.802233,1.097528
13,0.846036,1.091733
14,0.699779,1.085853
15,0.764847,1.078885
16,0.690380,1.068960
17,0.660808,1.045694
18,0.663253,1.036613
19,0.687563,1.028464
20,0.708807,1.023161
21,0.671100,1.014066
22,0.682951,1.005275
23,0.732270,0.997715
24,0.644447,0.988054
25,0.682976,0.984603
26,0.679970,0.974714
27,0.653275,0.969541
28,0.683292,0.964035
29,0.633176,0.961434
30,0.718321,0.951565
31,0.636595,0.948747
32,0.645367,0.942763
33,0.609597,0.935065
34,0.643491,0.929971
35,0.597261,0.925232
36,0.607717,0.921511
37,0.623531,0.916309
38,0.637206,0.910611
39,0.591548,0.906892
40,0.621291,0.904521
41,0.593560,0.900745
42,0.597258,0.895149
43,0.661297,0.890801
44,0.619723,0.887359
45,0.600753,0.883136
46,0.641671,0.880452
47,0.593541,0.876950
48,0.621529,0.873518
49,0.592939,0.871646
50,0.577278,0.868110
51,0.551787,0.866704
52,0.597020,0.864405
53,0.592558,0.860883
54,0.579753,0.862186
55,0.644100,0.855741
56,0.538904,0.854984
57,0.782180,0.851782
58,0.621559,0.849297
59,0.557691,0.847022
60,0.583898,0.845676
61,0.594675,0.843669
62,0.572314,0.841794
63,0.573547,0.840518
64,0.567349,0.839536
65,0.564498,0.838807
66,0.590643,0.837129
67,0.589618,0.838399
68,0.563109,0.836118
69,0.559851,0.834130
70,0.547430,0.834424
71,0.605248,0.833543
72,0.585597,0.833070
73,0.583157,0.830985
74,0.542405,0.830240
75,0.554588,0.829713
76,0.591651,0.828975
77,0.573105,0.828252
78,0.533699,0.827982
79,0.556233,0.827428
80,0.579184,0.826943
81,0.583682,0.826592
82,0.557739,0.826193
83,0.558354,0.825794
84,0.574750,0.825411
85,0.555590,0.825123
86,0.568914,0.824927
87,0.589887,0.824749
88,0.577687,0.824620
89,0.568837,0.824357
90,0.568219,0.824119
91,0.545138,0.823937
92,0.595288,0.823803
93,0.556177,0.823737
94,0.583453,0.823628
95,0.550786,0.823573
96,0.572638,0.823537
97,0.530798,0.823425
98,0.569486,0.823379
99,0.546357,0.823357
100,0.665410,0.823300
