epoch,train_loss,val_loss
1,26.112833,0.117635
2,0.107731,0.074344
3,0.083003,0.066939
4,0.074247,0.060053
5,0.064748,0.056017
6,0.055887,0.051114
7,0.051134,0.049255
8,0.048600,0.049543
9,0.047138,0.044123
10,0.045148,0.049213
11,0.042947,0.043256
12,0.043254,0.041601
13,0.041471,0.043037
14,0.039577,0.040865
15,0.039335,0.042449
16,0.037992,0.039279
17,0.039153,0.039352
18,0.038411,0.039509
19,0.037903,0.036590
20,0.034821,0.037685
21,0.035198,0.036670
22,0.034756,0.034839
23,0.035031,0.034336
24,0.036837,0.035502
25,0.032951,0.036142
26,0.035446,0.035471
27,0.034607,0.035724
28,0.032780,0.034831
29,0.034914,0.032366
30,0.031167,0.035020
31,0.033585,0.032977
32,0.032483,0.037591
33,0.036766,0.033717
34,0.029286,0.030985
35,0.029355,0.045516
36,0.030814,0.045728
37,0.031638,0.035286
38,0.028382,0.032453
39,0.031316,0.033748
40,0.029803,0.031292
41,0.028178,0.033123
42,0.028920,0.034663
43,0.029224,0.033054
44,0.031340,0.029033
45,0.027652,0.029414
46,0.026212,0.032777
47,0.027255,0.028981
48,0.027564,0.030131
49,0.026207,0.037247
50,0.026563,0.032515
51,0.025318,0.031328
52,0.025774,0.027144
53,0.026363,0.029512
54,0.025096,0.028545
55,0.025844,0.031366
56,0.024811,0.029134
57,0.023206,0.027214
58,0.024459,0.028056
59,0.024718,0.030083
60,0.023419,0.028429
61,0.024452,0.029090
62,0.022619,0.029462
63,0.024930,0.044051
64,0.023961,0.029082
65,0.021924,0.030327
66,0.021781,0.034040
67,0.022897,0.025692
68,0.022452,0.033690
69,0.021072,0.028336
70,0.023387,0.028834
71,0.021367,0.027608
72,0.020719,0.029763
73,0.022600,0.028296
74,0.021031,0.030036
75,0.021085,0.030150
76,0.020900,0.031023
77,0.020132,0.031390
78,0.020693,0.028566
79,0.020702,0.030319
80,0.020017,0.027016
