model,horizon_steps,horizon_days,final_mse,step_losses
ode,5,50,0.09409122914075851,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851]"
ode,10,100,0.10184387117624283,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851, 0.09501473605632782, 0.1188235655426979, 0.0997382178902626, 0.11942752450704575, 0.10184387117624283]"
ode,15,150,0.12865133583545685,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851, 0.09501473605632782, 0.1188235655426979, 0.0997382178902626, 0.11942752450704575, 0.10184387117624283, 0.11395619064569473, 0.11473822593688965, 0.1315099149942398, 0.13319797813892365, 0.12865133583545685]"
ode,20,200,0.1180054321885109,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851, 0.09501473605632782, 0.1188235655426979, 0.0997382178902626, 0.11942752450704575, 0.10184387117624283, 0.11395619064569473, 0.11473822593688965, 0.1315099149942398, 0.13319797813892365, 0.12865133583545685, 0.13343854248523712, 0.1147783100605011, 0.13837048411369324, 0.13467293977737427, 0.1180054321885109]"
ode,30,300,0.20368783175945282,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851, 0.09501473605632782, 0.1188235655426979, 0.0997382178902626, 0.11942752450704575, 0.10184387117624283, 0.11395619064569473, 0.11473822593688965, 0.1315099149942398, 0.13319797813892365, 0.12865133583545685, 0.13343854248523712, 0.1147783100605011, 0.13837048411369324, 0.13467293977737427, 0.1180054321885109, 0.13863760232925415, 0.23683694005012512, 0.14264218509197235, 0.1521802842617035, 0.1679704189300537, 0.1544690877199173, 0.1786191761493683, 0.17412617802619934, 0.19292116165161133, 0.20368783175945282]"
ode,40,400,0.2489364892244339,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851, 0.09501473605632782, 0.1188235655426979, 0.0997382178902626, 0.11942752450704575, 0.10184387117624283, 0.11395619064569473, 0.11473822593688965, 0.1315099149942398, 0.13319797813892365, 0.12865133583545685, 0.13343854248523712, 0.1147783100605011, 0.13837048411369324, 0.13467293977737427, 0.1180054321885109, 0.13863760232925415, 0.23683694005012512, 0.14264218509197235, 0.1521802842617035, 0.1679704189300537, 0.1544690877199173, 0.1786191761493683, 0.17412617802619934, 0.19292116165161133, 0.20368783175945282, 0.21546104550361633, 0.22373707592487335, 0.2365005761384964, 0.25747135281562805, 0.2549896538257599, 0.2505944073200226, 0.2952996492385864, 0.28752562403678894, 0.2433503270149231, 0.2489364892244339]"
ode,50,500,0.39906612038612366,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851, 0.09501473605632782, 0.1188235655426979, 0.0997382178902626, 0.11942752450704575, 0.10184387117624283, 0.11395619064569473, 0.11473822593688965, 0.1315099149942398, 0.13319797813892365, 0.12865133583545685, 0.13343854248523712, 0.1147783100605011, 0.13837048411369324, 0.13467293977737427, 0.1180054321885109, 0.13863760232925415, 0.23683694005012512, 0.14264218509197235, 0.1521802842617035, 0.1679704189300537, 0.1544690877199173, 0.1786191761493683, 0.17412617802619934, 0.19292116165161133, 0.20368783175945282, 0.21546104550361633, 0.22373707592487335, 0.2365005761384964, 0.25747135281562805, 0.2549896538257599, 0.2505944073200226, 0.2952996492385864, 0.28752562403678894, 0.2433503270149231, 0.2489364892244339, 0.27690982818603516, 0.2841835618019104, 0.28031396865844727, 0.30539238452911377, 0.3168475925922394, 0.317918986082077, 0.2970283329486847, 0.37870708107948303, 0.3841994106769562, 0.39906612038612366]"
ode,100,1000,0.6635273098945618,"[0.0, 0.03237468749284744, 0.03771623224020004, 0.06988920271396637, 0.065620556473732, 0.09409122914075851, 0.09501473605632782, 0.1188235655426979, 0.0997382178902626, 0.11942752450704575, 0.10184387117624283, 0.11395619064569473, 0.11473822593688965, 0.1315099149942398, 0.13319797813892365, 0.12865133583545685, 0.13343854248523712, 0.1147783100605011, 0.13837048411369324, 0.13467293977737427, 0.1180054321885109, 0.13863760232925415, 0.23683694005012512, 0.14264218509197235, 0.1521802842617035, 0.1679704189300537, 0.1544690877199173, 0.1786191761493683, 0.17412617802619934, 0.19292116165161133, 0.20368783175945282, 0.21546104550361633, 0.22373707592487335, 0.2365005761384964, 0.25747135281562805, 0.2549896538257599, 0.2505944073200226, 0.2952996492385864, 0.28752562403678894, 0.2433503270149231, 0.2489364892244339, 0.27690982818603516, 0.2841835618019104, 0.28031396865844727, 0.30539238452911377, 0.3168475925922394, 0.317918986082077, 0.2970283329486847, 0.37870708107948303, 0.3841994106769562, 0.39906612038612366, 0.3558090031147003, 0.3648666739463806, 0.3690001964569092, 0.4024391770362854, 0.40038633346557617, 0.43116295337677, 0.4369359612464905, 0.42863520979881287, 0.42800745368003845, 0.4029598832130432, 0.4194232225418091, 0.4360922873020172, 0.4384573996067047, 0.44767168164253235, 0.4688946008682251, 0.4666832387447357, 0.4710415303707123, 0.47231972217559814, 0.5158498287200928, 0.4912547171115875, 0.48507818579673767, 0.5147027969360352, 0.49167028069496155, 0.5048453211784363, 0.5361550450325012, 0.49906525015830994, 0.5694034695625305, 0.5137942433357239, 0.5279768109321594, 0.5350010395050049, 0.5355006456375122, 0.5304269194602966, 0.5261327028274536, 0.5232586860656738, 0.5323889851570129, 0.5053858757019043, 0.5197432637214661, 0.5327755808830261, 0.5461037158966064, 0.5367559790611267, 0.615829348564148, 0.6048915982246399, 0.5926563739776611, 0.6067233681678772, 0.6619693636894226, 0.6648041605949402, 0.6511761546134949, 0.6799128651618958, 0.6532235741615295, 0.6635273098945618]"
gru,5,50,0.060650356113910675,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675]"
gru,10,100,0.059458136558532715,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675, 0.056920818984508514, 0.07535609602928162, 0.05483817309141159, 0.0743979662656784, 0.059458136558532715]"
