epoch,train_loss,val_loss
1,13.257456,2.684552
2,1.100635,1.192760
3,0.820254,1.116006
4,0.733523,1.063036
5,0.818361,1.003086
6,0.635127,0.947775
7,0.614614,0.908166
8,0.596695,0.868063
9,0.551330,0.838286
10,0.573727,0.811526
11,0.533061,0.793911
12,0.559843,0.770370
13,0.541975,0.760390
14,0.530274,0.739393
15,0.526482,0.729171
16,0.540686,0.727206
17,0.483255,0.712857
18,0.538283,0.695227
19,0.524876,0.688331
20,0.487881,0.685011
21,0.461872,0.681477
22,0.479865,0.683336
23,0.493367,0.676832
24,0.461885,0.676957
25,0.465794,0.675313
26,0.461114,0.676116
27,0.465532,0.672247
28,0.466330,0.665903
29,0.430845,0.666520
30,0.459345,0.656721
31,0.462306,0.657198
32,0.592023,0.655907
33,0.454350,0.647676
34,0.448646,0.654126
35,0.455936,0.647359
36,0.451027,0.643169
37,0.450492,0.644011
38,0.532473,0.639501
39,0.456485,0.652100
40,0.446906,0.645468
41,0.468537,0.642681
42,0.449851,0.647022
43,0.451859,0.637067
44,0.434341,0.641535
45,0.465063,0.638022
46,0.457169,0.640382
47,0.469553,0.645230
48,0.458160,0.639027
49,0.448166,0.642069
50,0.435132,0.635556
51,0.441914,0.632245
52,0.471104,0.633687
53,0.421502,0.638574
54,0.443436,0.635839
55,0.466823,0.636359
56,0.437894,0.630064
57,0.427772,0.633329
58,0.422781,0.638143
59,0.428635,0.634597
60,0.413003,0.629859
61,0.433440,0.623936
62,0.431185,0.627605
63,0.430102,0.628151
64,0.442654,0.628870
65,0.472496,0.642955
66,0.426438,0.632238
67,0.439201,0.639944
68,0.433609,0.630923
69,0.417650,0.634211
70,0.456604,0.625663
71,0.433718,0.640805
72,0.430372,0.628122
73,0.460072,0.634179
74,0.406412,0.637472
75,0.437280,0.629264
76,0.451149,0.623172
77,0.452002,0.622238
78,0.443400,0.628867
79,0.423515,0.638702
80,0.469951,0.635897
81,0.421600,0.645629
82,0.454487,0.625392
83,0.414828,0.640026
84,0.492584,0.619414
85,0.466165,0.629385
86,0.426267,0.627459
87,0.417032,0.623941
88,0.431272,0.632722
89,0.425413,0.619026
90,0.435777,0.621598
91,0.433018,0.624318
92,0.432263,0.622389
93,0.487230,0.617430
94,0.434242,0.620207
95,0.408542,0.627484
96,0.444527,0.619680
97,0.445316,0.627622
98,0.426489,0.625787
99,0.456390,0.632027
100,0.436149,0.622569
