epoch,train_loss,val_loss
1,0.907346,1.199304
2,0.799554,1.173007
3,0.770611,1.163273
4,0.762376,1.155589
5,0.754592,1.149066
6,0.753739,1.140163
7,0.771848,1.132366
8,0.671301,1.121616
9,0.716301,1.101621
10,0.682812,1.087367
11,0.704516,1.079594
12,0.789291,1.071122
13,0.831418,1.064582
14,0.685283,1.057738
15,0.749046,1.050768
16,0.677492,1.045139
17,0.656499,1.040937
18,0.666565,1.035140
19,0.692735,1.029626
20,0.717638,1.026988
21,0.678725,1.020070
22,0.691987,1.014708
23,0.745208,1.012011
24,0.657638,1.005621
25,0.697985,1.004912
26,0.695689,0.996431
27,0.669785,0.992931
28,0.703173,0.991280
29,0.652978,0.986796
30,0.740807,0.980212
31,0.656999,0.978317
32,0.668278,0.974141
33,0.630465,0.967569
34,0.667294,0.963781
35,0.620038,0.960244
36,0.631314,0.957824
37,0.648957,0.953732
38,0.664074,0.948820
39,0.616643,0.946364
40,0.646349,0.944405
41,0.619172,0.941375
42,0.624587,0.936715
43,0.691257,0.933021
44,0.649737,0.930594
45,0.630053,0.926845
46,0.674891,0.924722
47,0.621372,0.921502
48,0.652735,0.918797
49,0.623398,0.917312
50,0.606443,0.914142
51,0.579341,0.912928
52,0.627441,0.911128
53,0.623791,0.907766
54,0.610429,0.909724
55,0.679655,0.903170
56,0.567504,0.902383
57,0.824689,0.899564
58,0.654288,0.897812
59,0.588551,0.895580
60,0.615827,0.894626
61,0.627212,0.892559
62,0.604523,0.890813
63,0.603449,0.889595
64,0.596066,0.888476
65,0.595880,0.887751
66,0.622299,0.886230
67,0.621267,0.887468
68,0.594495,0.885394
69,0.589212,0.883487
70,0.578100,0.883622
71,0.638065,0.882733
72,0.617194,0.882166
73,0.616605,0.880208
74,0.573644,0.879564
75,0.585352,0.879127
76,0.623907,0.878301
77,0.603622,0.877614
78,0.564486,0.877298
79,0.586217,0.876762
80,0.611191,0.876277
81,0.616181,0.875961
82,0.588348,0.875671
83,0.589376,0.875224
84,0.606382,0.874832
85,0.586229,0.874543
86,0.601921,0.874358
87,0.624552,0.874183
88,0.610023,0.874057
89,0.599684,0.873838
90,0.598597,0.873566
91,0.576215,0.873395
92,0.628755,0.873267
93,0.586356,0.873195
94,0.617121,0.873094
95,0.580923,0.873033
96,0.604507,0.873004
97,0.560534,0.872897
98,0.601156,0.872843
99,0.576982,0.872823
100,0.702384,0.872769
