model,horizon_steps,horizon_days,final_mse,step_losses
ode,5,50,0.29873916506767273,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273]"
ode,10,100,0.23548786342144012,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273, 0.23417425155639648, 0.235103577375412, 0.20189636945724487, 0.22763776779174805, 0.23548786342144012]"
ode,15,150,0.23529832065105438,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273, 0.23417425155639648, 0.235103577375412, 0.20189636945724487, 0.22763776779174805, 0.23548786342144012, 0.22190940380096436, 0.21587663888931274, 0.18742665648460388, 0.22579917311668396, 0.23529832065105438]"
ode,20,200,0.2774690091609955,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273, 0.23417425155639648, 0.235103577375412, 0.20189636945724487, 0.22763776779174805, 0.23548786342144012, 0.22190940380096436, 0.21587663888931274, 0.18742665648460388, 0.22579917311668396, 0.23529832065105438, 0.2455848902463913, 0.23156285285949707, 0.2595541477203369, 0.2653340995311737, 0.2774690091609955]"
ode,30,300,0.44010889530181885,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273, 0.23417425155639648, 0.235103577375412, 0.20189636945724487, 0.22763776779174805, 0.23548786342144012, 0.22190940380096436, 0.21587663888931274, 0.18742665648460388, 0.22579917311668396, 0.23529832065105438, 0.2455848902463913, 0.23156285285949707, 0.2595541477203369, 0.2653340995311737, 0.2774690091609955, 0.32181137800216675, 0.3356252908706665, 0.3547137677669525, 0.3198334872722626, 0.3331868648529053, 0.3685925006866455, 0.38765788078308105, 0.38322171568870544, 0.42201074957847595, 0.44010889530181885]"
ode,40,400,0.5091332793235779,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273, 0.23417425155639648, 0.235103577375412, 0.20189636945724487, 0.22763776779174805, 0.23548786342144012, 0.22190940380096436, 0.21587663888931274, 0.18742665648460388, 0.22579917311668396, 0.23529832065105438, 0.2455848902463913, 0.23156285285949707, 0.2595541477203369, 0.2653340995311737, 0.2774690091609955, 0.32181137800216675, 0.3356252908706665, 0.3547137677669525, 0.3198334872722626, 0.3331868648529053, 0.3685925006866455, 0.38765788078308105, 0.38322171568870544, 0.42201074957847595, 0.44010889530181885, 0.4702920913696289, 0.4939449727535248, 0.5248967409133911, 0.5975939631462097, 0.5497415065765381, 0.5692179203033447, 0.5520596504211426, 0.5520181655883789, 0.5040940642356873, 0.5091332793235779]"
ode,50,500,0.727414608001709,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273, 0.23417425155639648, 0.235103577375412, 0.20189636945724487, 0.22763776779174805, 0.23548786342144012, 0.22190940380096436, 0.21587663888931274, 0.18742665648460388, 0.22579917311668396, 0.23529832065105438, 0.2455848902463913, 0.23156285285949707, 0.2595541477203369, 0.2653340995311737, 0.2774690091609955, 0.32181137800216675, 0.3356252908706665, 0.3547137677669525, 0.3198334872722626, 0.3331868648529053, 0.3685925006866455, 0.38765788078308105, 0.38322171568870544, 0.42201074957847595, 0.44010889530181885, 0.4702920913696289, 0.4939449727535248, 0.5248967409133911, 0.5975939631462097, 0.5497415065765381, 0.5692179203033447, 0.5520596504211426, 0.5520181655883789, 0.5040940642356873, 0.5091332793235779, 0.5175941586494446, 0.6110861301422119, 0.5467480421066284, 0.5506483316421509, 0.5716898441314697, 0.5977771878242493, 0.6327080726623535, 0.7133316397666931, 0.702589213848114, 0.727414608001709]"
ode,100,1000,2.0348222255706787,"[0.0, 0.4657737612724304, 0.38577207922935486, 0.32551145553588867, 0.3132462501525879, 0.29873916506767273, 0.23417425155639648, 0.235103577375412, 0.20189636945724487, 0.22763776779174805, 0.23548786342144012, 0.22190940380096436, 0.21587663888931274, 0.18742665648460388, 0.22579917311668396, 0.23529832065105438, 0.2455848902463913, 0.23156285285949707, 0.2595541477203369, 0.2653340995311737, 0.2774690091609955, 0.32181137800216675, 0.3356252908706665, 0.3547137677669525, 0.3198334872722626, 0.3331868648529053, 0.3685925006866455, 0.38765788078308105, 0.38322171568870544, 0.42201074957847595, 0.44010889530181885, 0.4702920913696289, 0.4939449727535248, 0.5248967409133911, 0.5975939631462097, 0.5497415065765381, 0.5692179203033447, 0.5520596504211426, 0.5520181655883789, 0.5040940642356873, 0.5091332793235779, 0.5175941586494446, 0.6110861301422119, 0.5467480421066284, 0.5506483316421509, 0.5716898441314697, 0.5977771878242493, 0.6327080726623535, 0.7133316397666931, 0.702589213848114, 0.727414608001709, 0.7051078081130981, 0.7264493703842163, 0.7335778474807739, 0.8219289183616638, 0.7577922344207764, 0.7473564147949219, 0.7763720750808716, 0.8104411363601685, 0.8225693106651306, 0.8385674953460693, 0.8534660339355469, 0.8559488654136658, 0.8699237108230591, 0.9333105087280273, 0.9436802268028259, 0.9422663450241089, 0.9622764587402344, 1.0369150638580322, 1.0048397779464722, 1.0645687580108643, 1.0907056331634521, 1.1168928146362305, 1.1337449550628662, 1.1309682130813599, 1.1805589199066162, 1.1931335926055908, 1.3270034790039062, 1.2650002241134644, 1.294470191001892, 1.3283330202102661, 1.3954315185546875, 1.4116675853729248, 1.4233558177947998, 1.4834764003753662, 1.5232715606689453, 1.57302987575531, 1.55975341796875, 1.5880000591278076, 1.6386334896087646, 1.6843650341033936, 1.7055327892303467, 1.751813292503357, 1.7379179000854492, 1.8050451278686523, 1.8820571899414062, 2.049882650375366, 1.9249484539031982, 2.0653953552246094, 1.927160620689392, 2.0348222255706787]"
gru,5,50,0.3257482945919037,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037]"
gru,10,100,0.24728858470916748,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037, 0.25364595651626587, 0.24785557389259338, 0.21372497081756592, 0.2435740828514099, 0.24728858470916748]"
