epoch,train_loss,val_loss
1,4.156287,1.091194
2,0.885389,0.441302
3,0.612914,0.370956
4,0.500317,0.324906
5,0.420476,0.310838
6,0.362189,0.303056
7,0.326326,0.284006
8,0.301762,0.256569
9,0.279567,0.234713
10,0.260631,0.221798
11,0.268129,0.201972
12,0.252377,0.183473
13,0.233041,0.175182
14,0.228253,0.170151
15,0.224172,0.173113
16,0.231150,0.178468
17,0.217834,0.169323
18,0.213210,0.164993
19,0.211997,0.167382
20,0.228521,0.176286
21,0.211868,0.182246
22,0.208522,0.173256
23,0.209330,0.174972
24,0.203409,0.168365
25,0.206125,0.164396
26,0.202998,0.160943
27,0.198553,0.169758
28,0.219235,0.179458
29,0.237434,0.154742
30,0.218302,0.158510
31,0.213142,0.161511
32,0.208916,0.161327
33,0.202037,0.166163
34,0.201287,0.157205
35,0.201125,0.167906
36,0.198452,0.161866
37,0.196428,0.183273
38,0.198186,0.155139
39,0.196546,0.157961
40,0.193367,0.157996
