epoch,train_loss,val_loss
1,1.373647,0.038607
2,0.051228,0.027765
3,0.027590,0.018717
4,0.025665,0.018093
5,0.025195,0.018125
6,0.024335,0.017909
7,0.025785,0.017640
8,0.024789,0.017196
9,0.026797,0.017265
10,0.024736,0.019410
11,0.025101,0.017638
12,0.025049,0.016396
13,0.025226,0.016504
14,0.024479,0.017564
15,0.025865,0.016960
16,0.024726,0.016744
17,0.024818,0.016280
18,0.023510,0.019191
19,0.024878,0.016404
20,0.024857,0.015843
21,0.024081,0.016109
22,0.023579,0.015602
23,0.028808,0.026103
24,0.025772,0.016046
25,0.026336,0.015540
26,0.024464,0.015028
27,0.025975,0.015130
28,0.026455,0.017835
29,0.025078,0.019646
30,0.024414,0.018978
31,0.023949,0.015367
32,0.024476,0.018818
33,0.030902,0.015969
34,0.030041,0.020696
35,0.030914,0.021615
36,0.028081,0.015053
37,0.025333,0.025929
38,0.030272,0.017089
39,0.024307,0.015437
40,0.030066,0.015047
41,0.028171,0.021377
42,0.026597,0.023755
43,0.029526,0.018955
44,0.027738,0.015568
45,0.026161,0.021602
46,0.028239,0.016050
47,0.025006,0.014587
48,0.027068,0.016282
49,0.027796,0.015509
50,0.022719,0.015291
51,0.027828,0.041546
52,0.030455,0.023057
53,0.027126,0.027130
54,0.025181,0.014968
55,0.024155,0.015162
56,0.031086,0.014524
57,0.024927,0.015202
58,0.026633,0.018754
59,0.028012,0.015062
60,0.036950,0.015285
61,0.025987,0.019747
62,0.024097,0.014514
63,0.027603,0.019827
64,0.024850,0.020991
65,0.023926,0.021193
66,0.025803,0.015582
67,0.025881,0.013957
68,0.030231,0.043996
69,0.028667,0.025051
70,0.035037,0.026077
71,0.030018,0.018231
72,0.025311,0.014111
73,0.025248,0.019959
74,0.026875,0.020807
75,0.038609,0.014324
76,0.025893,0.013896
77,0.023584,0.014328
78,0.025567,0.035633
79,0.031637,0.015055
80,0.026460,0.023244
81,0.028439,0.015977
82,0.029100,0.028423
83,0.025623,0.017413
84,0.039580,0.023262
85,0.032054,0.014067
86,0.025043,0.015924
87,0.029749,0.014198
88,0.035542,0.207571
89,0.054531,0.054175
90,0.026464,0.014200
91,0.024712,0.014874
92,0.029311,0.013987
93,0.028511,0.016627
94,0.023714,0.023102
95,0.031200,0.022103
96,0.027675,0.013787
97,0.023506,0.019195
98,0.025077,0.023745
99,0.025810,0.014006
100,0.027642,0.016377
