epoch,train_loss,val_loss
1,23.415987,2.315007
2,1.637963,1.367893
3,0.983377,0.918812
4,0.716697,0.663586
5,0.578842,0.576883
6,0.499635,0.505387
7,0.445908,0.459613
8,0.410600,0.419852
9,0.382034,0.390959
10,0.367652,0.385533
11,0.347194,0.363518
12,0.335371,0.360920
13,0.330504,0.326112
14,0.322339,0.331827
15,0.322462,0.331609
16,0.315074,0.332102
17,0.307975,0.306301
18,0.313830,0.343285
19,0.301650,0.346690
20,0.305080,0.267383
21,0.298823,0.300759
22,0.304618,0.282368
23,0.297600,0.326114
24,0.303766,0.271072
25,0.296040,0.301197
26,0.304503,0.341785
27,0.290318,0.266913
28,0.286816,0.265158
29,0.328976,0.310739
30,0.294837,0.269736
31,0.277989,0.241916
32,0.275041,0.230529
33,0.284004,0.256090
34,0.282964,0.304687
35,0.294949,0.265773
36,0.278047,0.282693
37,0.275074,0.297522
38,0.281945,0.236001
39,0.275773,0.295118
40,0.273904,0.298168
