epoch,train_loss,val_loss
1,2.577876,0.264567
2,0.249293,0.155053
3,0.109629,0.049327
4,0.043270,0.029617
5,0.033690,0.025925
6,0.030941,0.022388
7,0.028606,0.021571
8,0.026974,0.020831
9,0.027463,0.020423
10,0.026922,0.021006
11,0.027377,0.020153
12,0.027033,0.019402
13,0.026370,0.019151
14,0.026920,0.018920
15,0.026055,0.018748
16,0.025726,0.018989
17,0.026121,0.019502
18,0.025841,0.018650
19,0.025517,0.019684
20,0.025069,0.018170
21,0.025045,0.019381
22,0.026432,0.017842
23,0.025731,0.017754
24,0.025466,0.018249
25,0.025390,0.017558
26,0.024623,0.017582
27,0.024814,0.018503
28,0.025467,0.017380
29,0.024383,0.017267
30,0.024642,0.017381
31,0.024982,0.017110
32,0.024056,0.017034
33,0.025213,0.016886
34,0.024420,0.017541
35,0.025075,0.016747
36,0.025568,0.016736
37,0.025185,0.016690
38,0.023738,0.017083
39,0.024827,0.016900
40,0.024105,0.016586
41,0.023986,0.016710
42,0.024611,0.016582
43,0.023861,0.016469
44,0.023780,0.016287
45,0.023484,0.016571
46,0.025575,0.016291
47,0.023799,0.016205
48,0.023663,0.016254
49,0.024013,0.016430
50,0.027879,0.016791
51,0.025412,0.016118
52,0.023447,0.016135
53,0.024062,0.016031
54,0.027032,0.016398
55,0.023287,0.016436
56,0.025555,0.016404
57,0.025069,0.016750
58,0.022319,0.015926
59,0.023374,0.015896
60,0.024833,0.015872
61,0.023581,0.016231
62,0.023781,0.015990
63,0.024136,0.015915
64,0.023526,0.015860
65,0.023916,0.015786
66,0.023637,0.015785
67,0.023682,0.015809
68,0.024452,0.015761
69,0.026358,0.016211
70,0.024139,0.015863
71,0.022895,0.015719
72,0.023526,0.015739
73,0.022980,0.015742
74,0.023437,0.015670
75,0.024088,0.016383
76,0.023416,0.015692
77,0.022892,0.015839
78,0.023504,0.015690
79,0.023299,0.015789
80,0.023642,0.015722
81,0.023693,0.015620
82,0.023318,0.015614
83,0.022821,0.015659
84,0.023984,0.016004
85,0.023552,0.015603
86,0.022994,0.015648
87,0.023185,0.015666
88,0.022672,0.015654
89,0.023273,0.015611
90,0.023466,0.015603
91,0.023599,0.015603
92,0.023115,0.015603
93,0.022815,0.015632
94,0.025112,0.015614
95,0.024042,0.015719
96,0.023843,0.015593
97,0.023272,0.015634
98,0.022745,0.015586
99,0.023587,0.015622
100,0.023990,0.015600
