epoch,train_loss,val_loss
1,1.066501,0.035061
2,0.030745,0.033738
3,0.027919,0.028296
4,0.023589,0.029272
5,0.021505,0.022969
6,0.021056,0.019634
7,0.018496,0.017904
8,0.018570,0.016919
9,0.019733,0.029521
10,0.017788,0.025544
11,0.020092,0.018416
12,0.015962,0.034463
13,0.017615,0.014356
14,0.018875,0.025038
15,0.015429,0.025204
16,0.018523,0.012026
17,0.013186,0.025673
18,0.017598,0.010281
19,0.015685,0.015476
20,0.014227,0.013457
21,0.013150,0.014173
22,0.013275,0.009393
23,0.013208,0.022552
24,0.013202,0.010115
25,0.011371,0.014081
26,0.015032,0.018656
27,0.010333,0.011451
28,0.010191,0.009834
29,0.010749,0.011322
30,0.011055,0.015170
31,0.010516,0.009290
32,0.009534,0.011454
33,0.009722,0.008742
34,0.008706,0.009119
35,0.009030,0.012443
36,0.008881,0.011241
37,0.008104,0.008090
38,0.009015,0.012769
39,0.008544,0.022068
40,0.008931,0.009368
