epoch,train_loss,val_loss
1,4.405330,0.073933
2,0.073123,0.060362
3,0.058885,0.052000
4,0.054430,0.046813
5,0.049663,0.048003
6,0.046567,0.043637
7,0.044355,0.045974
8,0.041349,0.043269
9,0.039339,0.040289
10,0.036540,0.037904
11,0.036153,0.051538
12,0.036207,0.041240
13,0.032591,0.046014
14,0.035340,0.039957
15,0.033071,0.044153
16,0.031641,0.045742
17,0.031298,0.030005
18,0.029219,0.033535
19,0.030706,0.029242
20,0.028860,0.029986
21,0.028536,0.032736
22,0.032583,0.028102
23,0.026510,0.025266
24,0.028169,0.027677
25,0.023748,0.038087
26,0.026891,0.027082
27,0.027625,0.029108
28,0.022193,0.025022
29,0.025673,0.033673
30,0.020535,0.029095
31,0.023633,0.022515
32,0.021342,0.023576
33,0.021062,0.021258
34,0.020835,0.023111
35,0.022350,0.038725
36,0.019592,0.021318
37,0.019119,0.024685
38,0.019597,0.020651
39,0.020242,0.021443
40,0.018138,0.029075
41,0.018242,0.024301
42,0.018837,0.021019
43,0.016829,0.020307
44,0.017714,0.023527
45,0.019618,0.022570
46,0.016167,0.025359
47,0.016381,0.019821
48,0.016318,0.019518
49,0.016103,0.018839
50,0.015846,0.021591
51,0.016384,0.020366
52,0.015870,0.032707
53,0.017203,0.027169
54,0.014500,0.020264
55,0.015805,0.019818
56,0.015287,0.021681
57,0.015038,0.020860
58,0.014705,0.022850
59,0.015813,0.021120
60,0.014365,0.018270
61,0.014944,0.020521
62,0.015075,0.020380
63,0.013802,0.019324
64,0.014163,0.019550
65,0.014022,0.018886
66,0.013342,0.018838
67,0.014028,0.019054
68,0.014279,0.019828
69,0.013809,0.018565
70,0.012954,0.019826
71,0.013182,0.017511
72,0.013676,0.019214
73,0.013204,0.017177
74,0.012302,0.017960
75,0.013531,0.018328
76,0.012642,0.019548
77,0.013824,0.018185
78,0.013862,0.017534
79,0.011928,0.015992
80,0.012411,0.017842
