epoch,train_loss,val_loss,val_ts_raw,val_ts_evo,val_oxy
1,0.636560,0.356249,0.012404,0.034819,0.652871
2,0.542029,0.363951,0.012353,0.039476,0.663719
3,0.557750,0.371213,0.012277,0.036358,0.681514
4,0.509370,0.351334,0.012335,0.034657,0.643341
5,0.529558,0.350653,0.012206,0.032574,0.644321
6,0.556948,0.353100,0.012213,0.032571,0.649202
7,0.517090,0.350739,0.012223,0.032693,0.644340
8,0.507307,0.349305,0.012148,0.032425,0.641890
9,0.536202,0.358388,0.012040,0.030733,0.661963
10,0.504746,0.364231,0.011953,0.030734,0.673820
11,0.515443,0.349788,0.011925,0.029988,0.645739
12,0.530955,0.356303,0.011810,0.029755,0.659231
13,0.533476,0.347295,0.011851,0.029625,0.641263
14,0.583923,0.347444,0.011720,0.029310,0.642137
15,0.544835,0.347768,0.011681,0.029256,0.642919
16,0.534521,0.346614,0.011600,0.028562,0.641465
17,0.535038,0.347243,0.011568,0.029865,0.641486
18,0.512631,0.347768,0.011648,0.029271,0.642967
19,0.574427,0.347226,0.011542,0.029880,0.641488
20,0.556408,0.347543,0.011478,0.029566,0.642564
21,0.519557,0.346770,0.011530,0.029523,0.640957
22,0.568220,0.351145,0.011471,0.028321,0.651027
23,0.475475,0.348750,0.011484,0.028425,0.646109
24,0.550440,0.354627,0.011429,0.027679,0.658717
25,0.519277,0.346654,0.011419,0.027527,0.642943
26,0.560156,0.348825,0.011427,0.027697,0.647099
27,0.516632,0.347184,0.011373,0.027462,0.644161
28,0.534444,0.345157,0.011386,0.027260,0.640283
29,0.510309,0.344871,0.011317,0.027017,0.640092
30,0.507466,0.348193,0.011346,0.026741,0.646953
31,0.597835,0.344953,0.011302,0.026688,0.640614
32,0.502475,0.352054,0.011304,0.027044,0.654456
33,0.513495,0.346005,0.011400,0.029362,0.639848
34,0.490661,0.345146,0.011285,0.028239,0.639483
35,0.501291,0.345200,0.011328,0.028193,0.639551
36,0.564959,0.346407,0.011229,0.028276,0.642080
37,0.514960,0.346496,0.011242,0.028028,0.642478
38,0.464170,0.344940,0.011221,0.027928,0.639512
39,0.594001,0.346210,0.011178,0.028012,0.642052
40,0.531506,0.346895,0.011145,0.027925,0.643575
41,0.490482,0.344950,0.011162,0.028042,0.639532
42,0.479931,0.344499,0.011144,0.027866,0.638844
43,0.519444,0.351347,0.011129,0.028080,0.652354
44,0.475794,0.346759,0.011152,0.027682,0.643533
45,0.511479,0.344739,0.011105,0.027606,0.639663
46,0.519138,0.348936,0.011099,0.027767,0.647906
47,0.480669,0.345037,0.011091,0.027867,0.640025
48,0.541030,0.345203,0.011085,0.027738,0.640498
49,0.506917,0.345197,0.011104,0.027864,0.640323
50,0.519515,0.344485,0.011074,0.027606,0.639216
51,0.537623,0.347247,0.011072,0.027964,0.644388
52,0.549359,0.345692,0.011094,0.027982,0.641214
53,0.573247,0.344525,0.011075,0.027939,0.638961
54,0.534393,0.344948,0.011049,0.027885,0.639913
55,0.524761,0.344552,0.011038,0.027912,0.639117
56,0.519902,0.345597,0.011058,0.027982,0.641095
57,0.573054,0.345057,0.011050,0.028091,0.639922
58,0.548626,0.348137,0.011056,0.028033,0.646129
59,0.507925,0.344577,0.011035,0.028135,0.638950
60,0.552009,0.353278,0.011032,0.028122,0.656370
61,0.511008,0.344925,0.011031,0.027955,0.639834
62,0.524641,0.344599,0.011024,0.028656,0.638494
63,0.514934,0.345277,0.011044,0.028089,0.640376
64,0.526671,0.344419,0.011028,0.028127,0.638654
65,0.556499,0.348242,0.011015,0.028540,0.645913
66,0.470330,0.344715,0.011018,0.027961,0.639433
67,0.512342,0.344608,0.011020,0.028064,0.639112
68,0.491957,0.345652,0.011018,0.028022,0.641246
69,0.511288,0.344095,0.011010,0.028100,0.638070
70,0.539382,0.345055,0.011013,0.028045,0.640041
71,0.522955,0.344126,0.011021,0.028027,0.638182
72,0.615775,0.344704,0.011010,0.028090,0.639299
73,0.527613,0.344438,0.011014,0.027985,0.638861
74,0.511688,0.344145,0.011015,0.028000,0.638259
75,0.544059,0.343975,0.011013,0.028009,0.637914
76,0.472616,0.344010,0.011008,0.027967,0.638038
77,0.495173,0.343887,0.011012,0.027848,0.637903
78,0.510114,0.344578,0.011012,0.027912,0.639220
79,0.515603,0.344263,0.011013,0.027898,0.638602
80,0.550552,0.344457,0.011009,0.027874,0.639022
81,0.509427,0.344124,0.011020,0.027817,0.638392
82,0.554601,0.344073,0.011020,0.027591,0.638515
83,0.488780,0.344112,0.011013,0.027740,0.638457
84,0.549428,0.344046,0.011012,0.027614,0.638453
85,0.489567,0.344238,0.011011,0.027637,0.638816
86,0.521358,0.344084,0.011009,0.027797,0.638353
87,0.464305,0.343891,0.011010,0.027748,0.638014
88,0.519930,0.344103,0.011010,0.027757,0.638429
89,0.539242,0.343972,0.011011,0.027719,0.638203
90,0.513320,0.344048,0.011011,0.027693,0.638382
91,0.525414,0.343974,0.011010,0.027720,0.638207
92,0.523922,0.343943,0.011009,0.027722,0.638145
93,0.508904,0.344110,0.011010,0.027716,0.638484
94,0.554267,0.344084,0.011010,0.027688,0.638459
95,0.516677,0.344158,0.011010,0.027726,0.638570
96,0.505006,0.344060,0.011010,0.027703,0.638396
97,0.546210,0.343952,0.011011,0.027686,0.638197
98,0.513627,0.343965,0.011010,0.027669,0.638241
99,0.486106,0.343914,0.011011,0.027659,0.638148
100,0.477918,0.343941,0.011010,0.027662,0.638200
