epoch,train_loss,val_loss
1,0.607308,0.314765
2,0.357586,0.220048
3,0.287351,0.179464
4,0.245694,0.159712
5,0.215820,0.145337
6,0.194589,0.138065
7,0.181002,0.128713
8,0.171341,0.123651
9,0.163413,0.123103
10,0.155912,0.120842
11,0.149435,0.120915
12,0.145289,0.121294
13,0.139755,0.119274
14,0.135712,0.117357
15,0.132200,0.119570
16,0.129708,0.115781
17,0.127348,0.117459
18,0.125714,0.116282
19,0.123258,0.116330
20,0.122089,0.113947
21,0.120237,0.114032
22,0.118652,0.115287
23,0.117857,0.112482
24,0.116149,0.112284
25,0.115104,0.113479
26,0.115244,0.111994
27,0.113856,0.111238
28,0.112906,0.113196
29,0.112336,0.111286
30,0.112228,0.109093
31,0.110752,0.113644
32,0.110299,0.109336
33,0.108991,0.106661
34,0.108125,0.108717
35,0.108168,0.107087
36,0.108199,0.107412
37,0.108065,0.105027
38,0.104837,0.105326
39,0.106477,0.105139
40,0.104291,0.104852
41,0.103756,0.104005
42,0.102737,0.107795
43,0.104248,0.104607
44,0.100961,0.104766
45,0.103050,0.103779
46,0.100954,0.103184
47,0.101035,0.103209
48,0.100420,0.102981
49,0.103847,0.103028
50,0.101038,0.102343
51,0.105631,0.101301
52,0.099341,0.102235
53,0.099324,0.102025
54,0.100754,0.101329
55,0.098518,0.104506
56,0.100172,0.101978
57,0.100980,0.100314
58,0.099259,0.101086
59,0.099503,0.101377
60,0.097776,0.101361
61,0.096500,0.101159
62,0.097570,0.101438
63,0.096507,0.100205
64,0.095838,0.100064
65,0.099639,0.100584
66,0.101986,0.100150
67,0.095643,0.099384
68,0.098547,0.099048
69,0.095846,0.098747
70,0.094800,0.099067
71,0.096901,0.100409
72,0.098565,0.099159
73,0.098346,0.098528
74,0.096636,0.099374
75,0.095093,0.098693
76,0.094015,0.098140
77,0.095139,0.098245
78,0.094372,0.097573
79,0.095119,0.098097
80,0.099281,0.099306
