epoch,train_loss,val_loss
1,21.345064,1.163895
2,1.269977,1.053984
3,0.649104,0.890874
4,0.536939,0.782755
5,0.545399,0.746630
6,0.510980,0.741240
7,0.481409,0.693066
8,0.477509,0.708751
9,0.463504,0.663261
10,0.461036,0.661982
11,0.441610,0.650835
12,0.427189,0.644772
13,0.458090,0.636040
14,0.461684,0.639255
15,0.466247,0.656114
16,0.454313,0.641354
17,0.457035,0.629386
18,0.502706,0.638941
19,0.457841,0.637868
20,0.445475,0.616834
21,0.503675,0.627545
22,0.512586,0.621744
23,0.466310,0.627729
24,0.441118,0.633285
25,0.448210,0.633657
26,0.510214,0.621760
27,0.472279,0.616604
28,0.429455,0.614352
29,0.441149,0.606953
30,0.440002,0.611827
31,0.439296,0.650239
32,0.548107,0.602386
33,0.448630,0.610976
34,0.400392,0.609298
35,0.456562,0.621697
36,0.418122,0.604588
37,0.414448,0.602389
38,0.414819,0.601034
39,0.436041,0.631897
40,0.499789,0.620230
41,0.416224,0.604036
42,0.423291,0.611519
43,0.456754,0.625837
44,0.418180,0.596774
45,0.408650,0.620192
46,0.401091,0.597442
47,0.418930,0.603484
48,0.618803,0.600250
49,0.439000,0.606056
50,0.434833,0.601594
51,0.401293,0.600691
52,0.461489,0.596031
53,0.422314,0.600322
54,0.411194,0.588192
55,0.402434,0.599539
56,0.418205,0.590551
57,0.396313,0.594687
58,0.415259,0.591480
59,0.394431,0.588482
60,0.405951,0.589821
61,0.461803,0.595772
62,0.480106,0.591274
63,0.410729,0.589885
64,0.441759,0.599019
65,0.385925,0.599342
66,0.384358,0.591465
67,0.427929,0.600598
68,0.436384,0.595928
69,0.415298,0.593168
70,0.393009,0.600382
71,0.406086,0.588656
72,0.403361,0.604162
73,0.394766,0.612668
74,0.397189,0.586712
75,0.406998,0.596631
76,0.397894,0.587859
77,0.401686,0.590579
78,0.406035,0.585968
79,0.424634,0.588922
80,0.375128,0.608613
81,0.391194,0.587378
82,0.435965,0.588755
83,0.439684,0.596362
84,0.407857,0.595098
85,0.414275,0.593561
86,0.411401,0.596694
87,0.410266,0.594030
88,0.396337,0.584732
89,0.396604,0.595280
90,0.401977,0.619105
91,0.400102,0.587818
92,0.386697,0.587621
93,0.403114,0.588771
94,0.402747,0.636718
95,0.425763,0.597166
96,0.399293,0.588711
97,0.395563,0.592812
98,0.397691,0.577701
99,0.390282,0.601224
100,0.432782,0.579297
