epoch,train_loss,val_loss,phase,window_size
1,5.198738,0.379431,1,10
2,0.276652,0.225471,1,10
3,0.191140,0.186496,1,10
4,0.162046,0.141712,1,10
5,0.144918,0.129442,1,10
6,0.136359,0.120616,1,10
7,0.131001,0.114317,1,10
8,0.125858,0.103105,1,10
9,0.122215,0.103089,1,10
10,0.120305,0.091628,1,10
11,0.116070,0.097222,1,10
12,0.114784,0.091506,1,10
13,0.113429,0.082901,1,10
14,0.111580,0.086964,1,10
15,0.111351,0.087387,1,10
16,0.110743,0.088522,1,10
17,0.108665,0.084122,1,10
18,0.107954,0.080027,1,10
19,0.107240,0.079882,1,10
20,0.106936,0.087080,1,10
21,0.105311,0.082952,1,10
22,0.105146,0.084089,1,10
23,0.104545,0.077364,1,10
24,0.104105,0.081391,1,10
25,0.103604,0.078907,1,10
26,0.102381,0.080431,1,10
27,0.102602,0.081848,1,10
28,0.101773,0.080167,1,10
29,0.101338,0.080720,1,10
30,0.101475,0.081963,1,10
31,0.101038,0.079446,1,10
32,0.100127,0.084688,1,10
33,0.099587,0.077854,1,10
34,0.099072,0.079765,1,10
35,0.098563,0.078611,1,10
36,0.099111,0.085364,1,10
37,0.098113,0.083499,1,10
38,0.097900,0.077941,1,10
39,0.097273,0.083106,1,10
40,0.096766,0.081539,1,10
41,0.096691,0.082637,1,10
42,0.096749,0.081270,1,10
43,0.096300,0.080146,1,10
44,0.095980,0.081704,1,10
45,0.096666,0.084924,1,10
46,0.095603,0.086836,1,10
47,0.095977,0.083879,1,10
48,0.095062,0.083332,1,10
49,0.094939,0.081579,1,10
50,0.094769,0.083999,1,10
51,0.094778,0.079179,1,10
52,0.093944,0.084205,1,10
53,0.093973,0.084642,1,10
54,0.093581,0.084010,1,10
55,0.093313,0.089437,1,10
56,0.093359,0.080804,1,10
57,0.093050,0.085661,1,10
58,0.092914,0.086390,1,10
59,0.092672,0.083732,1,10
60,0.092547,0.082641,1,10
61,0.092394,0.085202,1,10
62,0.092201,0.084458,1,10
63,0.092139,0.083650,1,10
64,0.092193,0.085361,1,10
65,0.091858,0.083819,1,10
66,0.091938,0.082654,1,10
67,0.092122,0.082008,1,10
68,0.092094,0.083416,1,10
69,0.091549,0.082338,1,10
70,0.091296,0.081968,1,10
71,0.091226,0.080608,1,10
72,0.091141,0.082877,1,10
73,0.091067,0.084295,1,10
74,0.090968,0.081886,1,10
75,0.090920,0.082562,1,10
76,0.090941,0.081481,1,10
77,0.090836,0.082630,1,10
78,0.090888,0.082233,1,10
79,0.090856,0.081208,1,10
80,0.091046,0.081937,1,10
