epoch,train_loss,val_loss
1,26.280660,0.485464
2,0.452907,0.202665
3,0.157962,0.111782
4,0.101363,0.076304
5,0.086173,0.071184
6,0.077773,0.067535
7,0.072026,0.063026
8,0.067310,0.061456
9,0.063691,0.060637
10,0.060204,0.056990
11,0.057760,0.055868
12,0.055023,0.054018
13,0.053158,0.056187
14,0.051503,0.051160
15,0.049709,0.051162
16,0.047863,0.050551
17,0.046446,0.048541
18,0.044945,0.048033
19,0.043276,0.047481
20,0.042334,0.043706
21,0.041766,0.045658
22,0.040795,0.047012
23,0.040404,0.045451
24,0.039127,0.044077
25,0.038744,0.041572
26,0.039825,0.043290
27,0.037437,0.043675
28,0.036747,0.039839
29,0.036089,0.039535
30,0.035681,0.039807
31,0.035196,0.039024
32,0.035705,0.038220
33,0.034484,0.039084
34,0.033850,0.037805
35,0.033716,0.038289
36,0.033653,0.037266
37,0.032789,0.036079
38,0.032291,0.035502
39,0.031841,0.034678
40,0.032287,0.034766
41,0.031185,0.034531
42,0.031031,0.034123
43,0.030257,0.033507
44,0.030473,0.032310
45,0.029601,0.032704
46,0.029258,0.032225
47,0.029032,0.031823
48,0.029312,0.033072
49,0.028423,0.031343
50,0.028109,0.031531
51,0.028392,0.031813
52,0.027619,0.032927
53,0.027940,0.032193
54,0.027263,0.031177
55,0.026807,0.030380
56,0.026822,0.030088
57,0.026505,0.031360
58,0.026990,0.029901
59,0.026283,0.029302
60,0.027931,0.033570
61,0.025470,0.029228
62,0.025288,0.028883
63,0.025650,0.028914
64,0.024973,0.028714
65,0.025249,0.029603
66,0.025086,0.029656
67,0.024802,0.029217
68,0.025329,0.029176
69,0.024467,0.029187
70,0.025191,0.030002
71,0.025114,0.027936
72,0.023874,0.027979
73,0.023565,0.030152
74,0.024416,0.029674
75,0.023451,0.029235
76,0.023817,0.028800
77,0.025838,0.027565
78,0.023411,0.026439
79,0.023662,0.030306
80,0.022884,0.027347
81,0.022762,0.027238
82,0.022729,0.027686
83,0.022939,0.026360
84,0.022175,0.027410
85,0.022548,0.026214
86,0.022225,0.026712
87,0.024517,0.027495
88,0.022260,0.027319
89,0.022328,0.026877
90,0.022511,0.026854
91,0.022119,0.027560
92,0.022132,0.026597
93,0.021744,0.028546
94,0.021575,0.025807
95,0.022052,0.031116
96,0.021459,0.025643
97,0.021877,0.029324
98,0.021638,0.026070
99,0.022044,0.028512
100,0.020643,0.025063
