epoch,train_loss,val_loss,phase,window_size
1,40.063863,6.975821,1,20
2,2.972349,2.477389,1,20
3,0.998135,1.338896,1,20
4,0.564977,0.844492,1,20
5,0.368810,0.581193,1,20
6,0.275405,0.542506,1,20
7,0.219719,0.387410,1,20
8,0.182232,0.351322,1,20
9,0.158346,0.326561,1,20
10,0.142846,0.252646,1,20
11,0.128877,0.206081,1,20
12,0.119837,0.206306,1,20
13,0.112628,0.170432,1,20
14,0.106035,0.159865,1,20
15,0.102272,0.149534,1,20
16,0.098966,0.133969,1,20
17,0.094689,0.122608,1,20
18,0.091741,0.112016,1,20
19,0.089210,0.110844,1,20
20,0.087608,0.105601,1,20
21,0.087128,0.097270,1,20
22,0.084426,0.095875,1,20
23,0.082030,0.089386,1,20
24,0.087501,0.093576,1,20
25,0.082053,0.083733,1,20
26,0.078172,0.080703,1,20
27,0.078403,0.081421,1,20
28,0.076694,0.076873,1,20
29,0.075725,0.070901,1,20
30,0.074849,0.075139,1,20
31,0.075698,0.070750,1,20
32,0.073888,0.065716,1,20
33,0.072734,0.065995,1,20
34,0.072860,0.063414,1,20
35,0.072017,0.071587,1,20
36,0.071819,0.060509,1,20
37,0.071195,0.059847,1,20
38,0.069401,0.060300,1,20
39,0.070321,0.062076,1,20
40,0.069321,0.060410,1,20
41,0.067981,0.064328,1,20
42,0.068485,0.060323,1,20
43,0.068247,0.059165,1,20
44,0.067152,0.057677,1,20
45,0.067285,0.056101,1,20
46,0.066341,0.056863,1,20
47,0.066797,0.053752,1,20
48,0.065948,0.053973,1,20
49,0.065622,0.054670,1,20
50,0.065121,0.050851,1,20
51,0.065227,0.057268,1,20
52,0.065700,0.053265,1,20
53,0.064706,0.053693,1,20
54,0.064579,0.054948,1,20
55,0.063791,0.053190,1,20
56,0.063683,0.053152,1,20
57,0.063665,0.051559,1,20
58,0.064073,0.053107,1,20
59,0.064332,0.051064,1,20
60,0.062248,0.051147,1,20
61,0.065302,0.058937,1,20
62,0.063394,0.051175,1,20
63,0.063534,0.055032,1,20
64,0.062648,0.051453,1,20
65,0.061666,0.049185,1,20
66,0.061924,0.052206,1,20
67,0.061524,0.048229,1,20
68,0.061613,0.046566,1,20
69,0.061829,0.047641,1,20
70,0.060893,0.047780,1,20
71,0.060004,0.049002,1,20
72,0.060749,0.050790,1,20
73,0.060359,0.051458,1,20
74,0.060318,0.047603,1,20
75,0.060192,0.048541,1,20
76,0.059947,0.048505,1,20
77,0.059703,0.046130,1,20
78,0.063315,0.055356,1,20
79,0.060550,0.046144,1,20
80,0.059097,0.047313,1,20
81,0.059170,0.046616,1,20
82,0.059057,0.050555,1,20
83,0.058356,0.045314,1,20
84,0.058279,0.045892,1,20
85,0.058429,0.047322,1,20
86,0.057476,0.044812,1,20
87,0.058299,0.049831,1,20
88,0.058458,0.043884,1,20
89,0.057315,0.044468,1,20
90,0.057735,0.045572,1,20
91,0.057683,0.044026,1,20
92,0.057077,0.045403,1,20
93,0.057539,0.045599,1,20
94,0.056969,0.044466,1,20
95,0.056898,0.044253,1,20
96,0.056465,0.044514,1,20
97,0.056585,0.043091,1,20
98,0.056419,0.045048,1,20
99,0.056211,0.043695,1,20
100,0.056469,0.044332,1,20
101,0.056460,0.044981,1,20
102,0.055990,0.043726,1,20
103,0.056130,0.042984,1,20
104,0.056163,0.043964,1,20
105,0.056754,0.048696,1,20
106,0.056182,0.043899,1,20
107,0.055849,0.044334,1,20
108,0.055206,0.043650,1,20
109,0.055620,0.042774,1,20
110,0.054866,0.043398,1,20
111,0.055236,0.042326,1,20
112,0.054768,0.044529,1,20
113,0.055293,0.045350,1,20
114,0.056002,0.041953,1,20
115,0.055455,0.042663,1,20
116,0.054892,0.042236,1,20
117,0.054261,0.042335,1,20
118,0.054502,0.043048,1,20
119,0.054062,0.042257,1,20
120,0.054342,0.041615,1,20
121,0.054078,0.041373,1,20
122,0.054218,0.042182,1,20
123,0.054361,0.043973,1,20
124,0.054291,0.042037,1,20
125,0.054153,0.041690,1,20
126,0.054025,0.041766,1,20
127,0.053833,0.041963,1,20
128,0.054347,0.043210,1,20
129,0.053726,0.042243,1,20
130,0.053799,0.042079,1,20
131,0.053413,0.041937,1,20
132,0.053393,0.041400,1,20
133,0.053593,0.041248,1,20
134,0.053877,0.041543,1,20
135,0.053245,0.041135,1,20
136,0.053466,0.041678,1,20
137,0.053646,0.041146,1,20
138,0.056942,0.041531,1,20
139,0.053236,0.042008,1,20
140,0.053221,0.041237,1,20
141,0.053717,0.041275,1,20
142,0.053307,0.041487,1,20
143,0.053239,0.041158,1,20
144,0.053345,0.041337,1,20
145,0.053778,0.041232,1,20
146,0.053184,0.041249,1,20
147,0.053136,0.041105,1,20
148,0.053047,0.041208,1,20
149,0.053085,0.041064,1,20
150,0.053472,0.041047,1,20
