epoch,train_loss,val_loss
1,1.594603,1.717318
2,1.056482,1.399919
3,0.861157,1.349262
4,0.847570,1.348679
5,0.881552,1.344368
6,0.836944,1.341614
7,0.859148,1.339228
8,0.871098,1.336453
9,0.879323,1.333671
10,0.841288,1.330923
11,0.866846,1.328283
12,0.843997,1.325629
13,0.835465,1.322905
14,0.845212,1.320133
15,0.843801,1.317485
16,0.837084,1.315007
17,0.833691,1.312360
18,0.919535,1.309876
19,0.844301,1.307333
20,0.878250,1.304855
21,0.820320,1.302098
22,0.832619,1.299891
23,0.814706,1.297284
24,0.843596,1.295125
25,0.815845,1.292754
26,0.838884,1.290532
27,0.823858,1.288390
28,0.822220,1.286153
29,0.811731,1.283997
30,0.802405,1.282108
31,0.824063,1.279993
32,0.820056,1.278375
33,0.826474,1.276306
34,0.800034,1.274728
35,0.802572,1.273039
36,0.814835,1.271393
37,0.795714,1.269741
38,0.822908,1.268407
39,0.813979,1.266792
40,0.817667,1.265327
41,0.858891,1.263912
42,0.821031,1.262361
43,0.823735,1.261001
44,0.786415,1.259688
45,0.801546,1.258358
46,0.775554,1.257094
47,0.822397,1.255800
48,0.770188,1.254600
49,0.837986,1.253348
50,0.819124,1.252099
51,0.815984,1.250946
52,0.801877,1.249728
53,0.774177,1.248681
54,0.764877,1.247549
55,0.797251,1.246575
56,0.792513,1.245535
57,0.797466,1.244502
58,0.794017,1.243515
59,0.827797,1.242593
60,0.794297,1.241573
61,0.824497,1.240802
62,0.814459,1.239724
63,0.775776,1.239013
64,0.742380,1.238055
65,0.806834,1.237308
66,0.754939,1.236529
67,0.779740,1.235711
68,0.786507,1.235098
69,0.799396,1.234247
70,0.793100,1.233535
71,0.775853,1.232803
72,0.796965,1.232158
73,0.794212,1.231543
74,0.776140,1.230883
75,0.783691,1.230338
76,0.782733,1.229711
77,0.787247,1.229159
78,0.792869,1.228609
79,0.801354,1.228073
80,0.803884,1.227601
81,0.804128,1.227093
82,0.796829,1.226652
83,0.755372,1.226135
84,0.761164,1.225736
85,0.784685,1.225295
86,0.793930,1.224874
87,0.794468,1.224530
88,0.794899,1.224150
89,0.785829,1.223764
90,0.802114,1.223492
91,0.784084,1.223072
92,0.791756,1.222800
93,0.764946,1.222506
94,0.787692,1.222270
95,0.810116,1.221967
96,0.771030,1.221698
97,0.808174,1.221474
98,0.788042,1.221229
99,0.776450,1.220988
100,0.757665,1.220755
101,0.765908,1.220618
102,0.758687,1.220456
103,0.764351,1.220245
104,0.783391,1.220054
105,0.774965,1.219906
106,0.767920,1.219781
107,0.807670,1.219644
108,0.775122,1.219494
109,0.786939,1.219392
110,0.789140,1.219229
111,0.776688,1.219156
112,0.791046,1.219021
113,0.769619,1.218905
114,0.748313,1.218821
115,0.746626,1.218698
116,0.765059,1.218602
117,0.752467,1.218490
118,0.810897,1.218431
119,0.815085,1.218348
120,0.792107,1.218246
