epoch,train_loss,val_loss
1,26.112833,0.117635
2,0.107731,0.074344
3,0.083003,0.066939
4,0.074247,0.060053
5,0.064748,0.056017
6,0.055887,0.051114
7,0.051134,0.049255
8,0.048600,0.049543
9,0.047138,0.044123
10,0.045148,0.049213
11,0.042947,0.043256
12,0.043254,0.041601
13,0.041471,0.043037
14,0.039577,0.040865
15,0.039335,0.042449
16,0.037992,0.039279
17,0.039153,0.039352
18,0.038411,0.039509
19,0.037903,0.036590
20,0.034821,0.037685
21,0.035198,0.036670
22,0.034756,0.034839
23,0.035031,0.034336
24,0.036837,0.035502
25,0.032951,0.036142
26,0.035446,0.035471
27,0.034607,0.035724
