model,horizon_steps,horizon_days,final_mse,step_losses
ode,5,50,1.874794840812683,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683]"
ode,10,100,2.7940258979797363,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683, 2.0883402824401855, 2.2142274379730225, 2.4251394271850586, 2.6317622661590576, 2.7940258979797363]"
ode,15,150,3.688666582107544,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683, 2.0883402824401855, 2.2142274379730225, 2.4251394271850586, 2.6317622661590576, 2.7940258979797363, 3.0151422023773193, 3.186941623687744, 3.364975690841675, 3.5067169666290283, 3.688666582107544]"
ode,20,200,4.470702648162842,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683, 2.0883402824401855, 2.2142274379730225, 2.4251394271850586, 2.6317622661590576, 2.7940258979797363, 3.0151422023773193, 3.186941623687744, 3.364975690841675, 3.5067169666290283, 3.688666582107544, 3.808460235595703, 3.935716390609741, 4.087399959564209, 4.272586345672607, 4.470702648162842]"
ode,30,300,8.107513427734375,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683, 2.0883402824401855, 2.2142274379730225, 2.4251394271850586, 2.6317622661590576, 2.7940258979797363, 3.0151422023773193, 3.186941623687744, 3.364975690841675, 3.5067169666290283, 3.688666582107544, 3.808460235595703, 3.935716390609741, 4.087399959564209, 4.272586345672607, 4.470702648162842, 4.639873027801514, 4.887251377105713, 5.194587230682373, 5.512893199920654, 5.954410076141357, 6.318648338317871, 6.748982906341553, 7.371148586273193, 7.64876127243042, 8.107513427734375]"
ode,40,400,12.979792594909668,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683, 2.0883402824401855, 2.2142274379730225, 2.4251394271850586, 2.6317622661590576, 2.7940258979797363, 3.0151422023773193, 3.186941623687744, 3.364975690841675, 3.5067169666290283, 3.688666582107544, 3.808460235595703, 3.935716390609741, 4.087399959564209, 4.272586345672607, 4.470702648162842, 4.639873027801514, 4.887251377105713, 5.194587230682373, 5.512893199920654, 5.954410076141357, 6.318648338317871, 6.748982906341553, 7.371148586273193, 7.64876127243042, 8.107513427734375, 8.633055686950684, 9.074629783630371, 9.45081615447998, 10.011691093444824, 10.526576042175293, 11.121516227722168, 11.564149856567383, 11.918688774108887, 12.621047973632812, 12.979792594909668]"
ode,50,500,15.872794151306152,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683, 2.0883402824401855, 2.2142274379730225, 2.4251394271850586, 2.6317622661590576, 2.7940258979797363, 3.0151422023773193, 3.186941623687744, 3.364975690841675, 3.5067169666290283, 3.688666582107544, 3.808460235595703, 3.935716390609741, 4.087399959564209, 4.272586345672607, 4.470702648162842, 4.639873027801514, 4.887251377105713, 5.194587230682373, 5.512893199920654, 5.954410076141357, 6.318648338317871, 6.748982906341553, 7.371148586273193, 7.64876127243042, 8.107513427734375, 8.633055686950684, 9.074629783630371, 9.45081615447998, 10.011691093444824, 10.526576042175293, 11.121516227722168, 11.564149856567383, 11.918688774108887, 12.621047973632812, 12.979792594909668, 12.913207054138184, 14.757255554199219, 14.912103652954102, 13.89489459991455, 14.25738525390625, 15.204109191894531, 15.48119831085205, 15.0623197555542, 15.391522407531738, 15.872794151306152]"
ode,100,1000,102.12281799316406,"[0.0, 0.44702407717704773, 1.2891123294830322, 1.513407588005066, 1.6876672506332397, 1.874794840812683, 2.0883402824401855, 2.2142274379730225, 2.4251394271850586, 2.6317622661590576, 2.7940258979797363, 3.0151422023773193, 3.186941623687744, 3.364975690841675, 3.5067169666290283, 3.688666582107544, 3.808460235595703, 3.935716390609741, 4.087399959564209, 4.272586345672607, 4.470702648162842, 4.639873027801514, 4.887251377105713, 5.194587230682373, 5.512893199920654, 5.954410076141357, 6.318648338317871, 6.748982906341553, 7.371148586273193, 7.64876127243042, 8.107513427734375, 8.633055686950684, 9.074629783630371, 9.45081615447998, 10.011691093444824, 10.526576042175293, 11.121516227722168, 11.564149856567383, 11.918688774108887, 12.621047973632812, 12.979792594909668, 12.913207054138184, 14.757255554199219, 14.912103652954102, 13.89489459991455, 14.25738525390625, 15.204109191894531, 15.48119831085205, 15.0623197555542, 15.391522407531738, 15.872794151306152, 16.862539291381836, 17.188579559326172, 17.1971492767334, 17.793487548828125, 18.906808853149414, 19.39851951599121, 19.633636474609375, 19.700958251953125, 20.284915924072266, 20.81380271911621, 22.064563751220703, 22.135618209838867, 23.502029418945312, 23.831872940063477, 24.776113510131836, 25.82710075378418, 27.527545928955078, 28.111011505126953, 29.27692985534668, 31.082889556884766, 32.024444580078125, 33.16964340209961, 34.69717025756836, 36.3541259765625, 38.69024658203125, 39.761627197265625, 41.86676025390625, 43.36493682861328, 45.15596008300781, 47.210018157958984, 50.12274932861328, 51.93442916870117, 54.30721664428711, 56.60785675048828, 59.52716064453125, 62.11175537109375, 64.86293029785156, 67.47599029541016, 69.81170654296875, 72.68378448486328, 75.24254608154297, 78.2602310180664, 80.53861236572266, 83.46443939208984, 86.16539764404297, 89.15270233154297, 92.26611328125, 95.5797348022461, 98.8758316040039, 102.12281799316406]"
gru,5,50,1.8503830432891846,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846]"
gru,10,100,1.5809820890426636,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846, 1.9845117330551147, 1.6924362182617188, 1.7972925901412964, 1.6226109266281128, 1.5809820890426636]"
