epoch,train_loss,val_loss,val_ts_raw,val_ts_evo,val_oxy
1,0.655440,0.369354,0.019082,0.042945,0.657599
2,0.532694,0.365120,0.019148,0.042344,0.649600
3,0.598197,0.362629,0.019329,0.039926,0.646674
4,0.600845,0.362375,0.019361,0.039513,0.646515
5,0.562129,0.368731,0.019400,0.039873,0.658788
6,0.593632,0.369524,0.019438,0.037566,0.662607
7,0.533299,0.360330,0.019426,0.037559,0.644250
8,0.558494,0.359770,0.019520,0.036790,0.643710
9,0.538692,0.359339,0.019537,0.036459,0.643147
10,0.567214,0.360542,0.019470,0.036120,0.646024
11,0.537279,0.359082,0.019409,0.036031,0.643317
12,0.526441,0.358894,0.019284,0.035215,0.644005
13,0.540612,0.362393,0.019194,0.035677,0.650721
14,0.517502,0.358365,0.019034,0.035237,0.643424
15,0.534628,0.364562,0.018953,0.035230,0.655988
16,0.542032,0.357626,0.018825,0.034811,0.642792
17,0.516430,0.358453,0.018736,0.034715,0.644719
18,0.559436,0.359427,0.018601,0.035950,0.645701
19,0.535305,0.366508,0.018537,0.034352,0.661590
20,0.543788,0.358424,0.018418,0.033937,0.646075
21,0.576954,0.359418,0.018363,0.034045,0.648065
22,0.542916,0.356709,0.018305,0.033672,0.643135
23,0.583482,0.356763,0.018255,0.033949,0.643067
24,0.532907,0.357500,0.018207,0.034019,0.644568
25,0.557061,0.356413,0.018144,0.033074,0.643464
26,0.545256,0.356884,0.018122,0.033827,0.643696
27,0.457450,0.356489,0.018079,0.034233,0.642588
28,0.531615,0.357922,0.018046,0.033328,0.646423
29,0.571344,0.356409,0.018024,0.033089,0.643681
30,0.540873,0.356236,0.018004,0.033586,0.642878
31,0.525127,0.355943,0.017975,0.032697,0.643239
32,0.525601,0.355644,0.017965,0.032625,0.642733
33,0.500094,0.356011,0.017988,0.032873,0.643173
34,0.483828,0.357641,0.017944,0.032764,0.646629
35,0.525539,0.357554,0.017943,0.033853,0.645368
36,0.522621,0.356091,0.017944,0.032937,0.643357
37,0.542406,0.360455,0.017933,0.033229,0.651816
38,0.522685,0.355887,0.017931,0.033276,0.642637
39,0.532436,0.355972,0.017917,0.032898,0.643211
40,0.589332,0.356192,0.017951,0.033077,0.643405
41,0.546865,0.356205,0.017923,0.032342,0.644222
42,0.557361,0.356717,0.017938,0.032621,0.644937
43,0.554235,0.355705,0.017908,0.032681,0.642914
44,0.515596,0.361285,0.017904,0.032932,0.653830
45,0.510185,0.356232,0.017931,0.033131,0.643471
46,0.535518,0.358645,0.017899,0.032662,0.648829
47,0.548359,0.355436,0.017938,0.032472,0.642524
48,0.559981,0.357655,0.017927,0.032990,0.646467
49,0.531089,0.355305,0.017918,0.032531,0.642242
50,0.566819,0.357620,0.017908,0.032679,0.646745
51,0.485297,0.354877,0.017901,0.032268,0.641685
52,0.510441,0.356575,0.017901,0.032772,0.644577
53,0.534039,0.355285,0.017903,0.032839,0.641926
54,0.503445,0.355922,0.017922,0.032443,0.643558
55,0.533166,0.355364,0.017919,0.032216,0.642675
56,0.536886,0.355611,0.017909,0.032548,0.642855
57,0.503543,0.355806,0.017898,0.032561,0.643256
58,0.530943,0.354879,0.017891,0.032525,0.641452
59,0.509960,0.355065,0.017914,0.032619,0.641682
60,0.590866,0.355950,0.017906,0.032647,0.643441
61,0.566969,0.356847,0.017895,0.032283,0.645621
62,0.547025,0.354755,0.017894,0.032251,0.641471
63,0.568040,0.354684,0.017893,0.032106,0.641477
64,0.504910,0.354839,0.017905,0.032634,0.641235
65,0.522862,0.354656,0.017894,0.032276,0.641249
66,0.531456,0.355751,0.017893,0.032078,0.643639
67,0.530333,0.355036,0.017901,0.032212,0.642058
68,0.578254,0.354999,0.017878,0.032790,0.641452
69,0.546722,0.355965,0.017878,0.032273,0.643900
70,0.520187,0.354537,0.017888,0.032109,0.641189
71,0.491560,0.355392,0.017879,0.032137,0.642890
72,0.518343,0.354588,0.017891,0.032003,0.641392
73,0.601372,0.354580,0.017882,0.032127,0.641268
74,0.574487,0.356498,0.017901,0.032235,0.644959
75,0.546337,0.354572,0.017886,0.031902,0.641469
76,0.546502,0.354919,0.017890,0.031800,0.642258
77,0.519682,0.354466,0.017881,0.031807,0.641363
78,0.543718,0.354412,0.017882,0.031827,0.641234
79,0.512321,0.354305,0.017880,0.031796,0.641053
80,0.480483,0.354249,0.017881,0.031812,0.640922
81,0.523089,0.354397,0.017876,0.031824,0.641218
82,0.548679,0.354347,0.017874,0.031845,0.641102
83,0.519474,0.354595,0.017876,0.031747,0.641691
84,0.542864,0.354637,0.017874,0.031778,0.641749
85,0.543860,0.354317,0.017875,0.031703,0.641181
86,0.482998,0.354244,0.017875,0.031778,0.640959
87,0.594635,0.355290,0.017875,0.031851,0.642980
88,0.471260,0.354271,0.017874,0.031883,0.640912
89,0.480248,0.354172,0.017872,0.031716,0.640883
90,0.503099,0.354174,0.017874,0.031757,0.640844
91,0.519158,0.354199,0.017872,0.031747,0.640908
92,0.541863,0.354296,0.017873,0.031717,0.641129
93,0.537121,0.354193,0.017873,0.031700,0.640941
94,0.543288,0.354233,0.017874,0.031718,0.641000
95,0.543560,0.354392,0.017873,0.031692,0.641346
96,0.528679,0.354283,0.017873,0.031703,0.641117
97,0.492465,0.354239,0.017873,0.031689,0.641044
98,0.568768,0.354241,0.017873,0.031684,0.641053
99,0.541881,0.354212,0.017873,0.031698,0.640979
100,0.575036,0.354259,0.017873,0.031707,0.641066
