epoch,train_loss,val_loss
1,0.491032,0.266883
2,0.289204,0.178542
3,0.223713,0.136488
4,0.185071,0.107575
5,0.159587,0.090887
6,0.142453,0.082256
7,0.129193,0.076916
8,0.118684,0.073379
9,0.110253,0.069980
10,0.104171,0.065353
11,0.098485,0.063281
12,0.095031,0.062420
13,0.090762,0.059896
14,0.087759,0.058817
15,0.084482,0.057332
16,0.082244,0.055270
17,0.078777,0.054620
18,0.077548,0.054358
19,0.074530,0.053216
20,0.072752,0.052331
21,0.071132,0.050676
22,0.069744,0.049769
23,0.068582,0.049100
24,0.067225,0.049246
25,0.066612,0.048787
26,0.065783,0.047949
27,0.065552,0.048170
28,0.063843,0.048193
29,0.063300,0.046925
30,0.062610,0.046535
31,0.061853,0.046594
32,0.061310,0.046618
33,0.060955,0.046171
34,0.060234,0.046002
35,0.060052,0.045960
36,0.059502,0.045865
37,0.058746,0.044929
38,0.058305,0.044714
39,0.058199,0.045532
40,0.057587,0.044762
41,0.057123,0.044466
42,0.057367,0.044728
43,0.056884,0.044220
44,0.056273,0.044092
45,0.055882,0.044565
46,0.056292,0.044340
47,0.055738,0.044598
48,0.055266,0.044031
49,0.055501,0.043714
50,0.054207,0.043097
51,0.054580,0.043937
52,0.054599,0.043908
53,0.054483,0.043536
54,0.053482,0.043262
55,0.053380,0.043902
56,0.057588,0.043551
57,0.054350,0.043435
58,0.053249,0.043649
59,0.052963,0.042973
60,0.053760,0.044758
61,0.052735,0.043261
62,0.052766,0.042765
63,0.052523,0.043889
64,0.054233,0.043329
65,0.058803,0.042679
66,0.052180,0.042341
67,0.052935,0.042190
68,0.051911,0.044454
69,0.052358,0.042698
70,0.051271,0.042690
71,0.052064,0.042334
72,0.052226,0.042084
73,0.052375,0.042863
74,0.051265,0.042071
75,0.052481,0.042323
76,0.052279,0.042249
77,0.051813,0.042185
78,0.051853,0.042013
79,0.051669,0.041709
80,0.053602,0.042117
81,0.050845,0.042862
82,0.051107,0.041703
83,0.050938,0.041687
84,0.053363,0.042116
85,0.050603,0.041670
86,0.051499,0.041336
87,0.050415,0.042120
88,0.052062,0.041428
89,0.050063,0.041636
90,0.051870,0.041816
91,0.051559,0.041542
92,0.050334,0.041105
93,0.050216,0.041517
94,0.051880,0.041510
95,0.050943,0.041676
96,0.050866,0.041093
97,0.049748,0.041700
98,0.049964,0.041561
99,0.050134,0.041334
100,0.050007,0.041181
101,0.049471,0.041080
102,0.050024,0.041407
103,0.051438,0.041260
104,0.049543,0.040925
105,0.049376,0.041418
106,0.049651,0.041133
107,0.049297,0.041528
108,0.048817,0.041330
109,0.050245,0.041727
110,0.050547,0.040885
111,0.049508,0.041173
112,0.049131,0.040929
113,0.048933,0.041138
114,0.049303,0.040670
115,0.049600,0.042073
116,0.048875,0.040832
117,0.050044,0.041853
118,0.048941,0.041123
119,0.050620,0.041975
120,0.049219,0.040811
121,0.049241,0.041085
122,0.048786,0.041208
123,0.048682,0.041495
124,0.048527,0.041359
125,0.048753,0.041195
126,0.049359,0.040405
127,0.048461,0.041275
128,0.049544,0.040913
129,0.049964,0.041177
130,0.048356,0.041121
131,0.048439,0.040849
132,0.049140,0.041170
133,0.048040,0.040629
134,0.047953,0.040396
135,0.048398,0.042260
136,0.051358,0.040298
137,0.048588,0.041169
138,0.048373,0.040277
139,0.048903,0.041217
140,0.049187,0.040636
141,0.050338,0.041420
142,0.048282,0.040741
143,0.047922,0.040765
144,0.048645,0.040260
145,0.048199,0.040689
146,0.048745,0.040082
147,0.048092,0.040596
148,0.054037,0.040718
149,0.048901,0.042381
150,0.051395,0.040993
