epoch,train_loss,val_loss
1,2.498314,0.128160
2,0.070195,0.034811
3,0.032181,0.023724
4,0.030239,0.022498
5,0.029014,0.021653
6,0.029426,0.021282
7,0.028006,0.020792
8,0.027993,0.020765
9,0.026426,0.019293
10,0.026453,0.019167
11,0.031376,0.034567
12,0.028241,0.018484
13,0.027472,0.019117
14,0.026161,0.019346
15,0.027161,0.018320
16,0.027011,0.020410
17,0.026544,0.017970
18,0.026778,0.017986
19,0.024932,0.019425
20,0.026658,0.022630
21,0.029846,0.022311
22,0.026185,0.017839
23,0.025915,0.017712
24,0.026069,0.019302
25,0.026515,0.018910
26,0.033487,0.025815
27,0.044134,0.037790
28,0.029245,0.018979
29,0.031023,0.021243
30,0.027042,0.017845
31,0.025642,0.018785
32,0.026851,0.020623
33,0.030602,0.021927
34,0.028775,0.017576
35,0.078006,0.025428
36,0.033399,0.017899
37,0.027779,0.042903
38,0.048765,0.034651
39,0.040073,0.023509
40,0.038773,0.027677
41,0.032616,0.037044
42,0.035300,0.020063
43,0.035576,0.019351
44,0.027366,0.036195
45,0.029232,0.037873
46,0.042498,0.019456
47,0.030991,0.023036
48,0.038927,0.187833
49,0.097443,0.021456
50,0.031273,0.018022
51,0.034031,0.023299
52,0.034925,0.104088
53,0.044461,0.061898
54,0.041261,0.035594
55,0.047678,0.090987
56,0.050287,0.026496
57,0.031215,0.025931
58,0.085871,0.026787
59,0.098428,0.067337
60,0.040868,0.049429
61,0.036686,0.024702
62,0.107139,0.046310
63,0.036436,0.017889
64,0.028275,0.017550
65,0.037987,0.018198
66,0.043272,0.410097
67,0.059886,0.017210
68,0.033598,0.017894
69,0.027554,0.025000
70,0.039327,0.064466
71,0.041638,0.034331
72,0.041518,0.018522
73,0.041258,0.120517
74,0.035543,0.018184
75,0.037137,0.019028
76,0.028109,0.020146
77,0.029968,0.060702
78,0.058772,0.029139
79,0.044753,0.028690
80,0.043655,0.029969
81,0.032580,0.020750
82,0.087480,0.082645
83,0.113949,0.024539
84,0.039772,0.067828
85,0.042489,0.033764
86,0.042655,0.019674
87,0.027052,0.028949
88,0.033782,0.030716
89,0.031956,0.016910
90,0.032894,0.076847
91,0.047728,0.026183
92,0.038237,0.018610
93,0.045770,0.021778
94,0.035584,0.022732
95,0.035842,0.017608
96,0.026863,0.022682
97,0.027319,0.019739
98,0.030302,0.018881
99,0.034285,0.021799
100,0.033875,0.018932
