epoch,train_loss,val_loss
1,23.293115,2.199530
2,1.552304,1.236596
3,0.917251,0.912685
4,0.699192,0.694953
5,0.578500,0.595047
6,0.507021,0.506413
7,0.461174,0.468947
8,0.439492,0.418396
9,0.406578,0.399851
10,0.394061,0.380325
11,0.374880,0.363827
12,0.360631,0.358127
13,0.355889,0.347477
14,0.346273,0.354639
15,0.351997,0.338655
16,0.337981,0.326326
17,0.336673,0.338295
18,0.336076,0.339851
19,0.333494,0.310603
20,0.331287,0.297324
21,0.324945,0.338556
22,0.321882,0.282020
23,0.318623,0.307871
24,0.334388,0.291853
25,0.320311,0.309661
26,0.324131,0.334439
27,0.325118,0.281735
28,0.305183,0.256401
29,0.313110,0.302024
30,0.330151,0.284274
31,0.318099,0.265643
32,0.296547,0.260644
33,0.298982,0.263162
34,0.298947,0.283278
35,0.303270,0.297593
36,0.298775,0.281727
37,0.290869,0.272548
38,0.302691,0.266810
39,0.285085,0.300457
40,0.286113,0.299127
41,0.292087,0.294272
42,0.282975,0.248509
43,0.273365,0.272549
44,0.284242,0.307896
45,0.284534,0.254404
46,0.273437,0.230722
47,0.276490,0.241324
48,0.272485,0.264420
49,0.265706,0.227349
