epoch,train_loss,val_loss
1,7.863802,0.027216
2,0.080097,0.026163
3,0.030773,0.022597
4,0.029990,0.023112
5,0.029530,0.022806
6,0.029704,0.022359
7,0.028286,0.022560
8,0.028012,0.020475
9,0.027437,0.021333
10,0.029867,0.019510
11,0.028074,0.021812
12,0.030598,0.020526
13,0.028182,0.018606
14,0.026581,0.019247
15,0.026900,0.018626
16,0.026013,0.018462
17,0.025747,0.018237
18,0.026915,0.017891
19,0.026271,0.018386
20,0.025912,0.018218
21,0.025842,0.018063
22,0.024476,0.018003
23,0.026495,0.018632
24,0.026797,0.019275
25,0.025164,0.017568
26,0.026322,0.018587
27,0.032930,0.018646
28,0.025765,0.023172
29,0.025675,0.020091
30,0.030185,0.022734
31,0.027704,0.019444
32,0.028416,0.020281
33,0.027564,0.017371
34,0.025910,0.022086
35,0.027161,0.020242
36,0.026754,0.017571
37,0.031279,0.021177
38,0.029060,0.019756
39,0.027196,0.020137
40,0.029281,0.021958
41,0.032168,0.023257
42,0.026462,0.019634
43,0.028916,0.038452
44,0.027792,0.025277
45,0.028399,0.018241
46,0.033256,0.035860
47,0.036678,0.017389
48,0.026995,0.018784
49,0.027721,0.016688
50,0.026886,0.016996
51,0.030094,0.031076
52,0.028281,0.016979
53,0.026348,0.024922
54,0.027012,0.017877
55,0.029190,0.021473
56,0.026882,0.017394
57,0.036329,0.019184
58,0.029194,0.022214
59,0.043253,0.018964
60,0.028933,0.017360
61,0.029016,0.018278
62,0.034087,0.163884
63,0.087800,0.018379
64,0.045712,0.018115
65,0.029556,0.027830
66,0.025066,0.016597
67,0.026548,0.016670
68,0.030088,0.029086
69,0.041119,0.066609
70,0.083154,0.030346
71,0.031821,0.020697
72,0.029503,0.034157
73,0.029180,0.028396
74,0.030336,0.037369
75,0.039320,0.022428
76,0.027410,0.022284
77,0.029962,0.021674
78,0.032150,0.018046
79,0.037732,0.018565
80,0.042484,0.059856
81,0.034152,0.059344
82,0.054170,0.049630
83,0.037354,0.015988
84,0.029475,0.069487
85,0.029961,0.016731
86,0.029700,0.264805
87,0.079529,0.017836
88,0.037580,0.028313
89,0.029057,0.016146
90,0.028331,0.019811
91,0.031689,0.019639
92,0.060483,0.206418
93,0.044991,0.019066
94,0.030813,0.056784
95,0.052929,0.124806
96,0.146342,0.181255
97,0.038309,0.017859
98,0.026703,0.029216
99,0.032427,0.017677
100,0.026380,0.022671
